 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
13:10 31.12.2019 	 2 	 1,86 	 4 	 5 	 197 	 992 	 4,9 	  
13:00 31.12.2019 	 2,11 	 1,99 	 4 	 5 	 190 	 992 	 4,8 	  
12:50 31.12.2019 	 2,22 	 2,06 	 3 	 4 	 182 	 992 	 4,7 	  
12:40 31.12.2019 	 2,33 	 2,23 	 3 	 4 	 171 	 991 	 4,5 	  
12:30 31.12.2019 	 2,44 	 2,29 	 3 	 4 	 164 	 991 	 4,7 	  
12:20 31.12.2019 	 2,56 	 2,37 	 3 	 4 	 173 	 992 	 4,7 	  
12:10 31.12.2019 	 2,66 	 2,56 	 3 	 3 	 180 	 992 	 5 	  
12:00 31.12.2019 	 2,77 	 2,59 	 3 	 3 	 183 	 992 	 4,9 	  
11:50 31.12.2019 	 2,87 	 2,69 	 3 	 3 	 186 	 992 	 4,9 	  
11:40 31.12.2019 	 2,97 	 2,78 	 3 	 4 	 187 	 992 	 4,9 	  
11:30 31.12.2019 	 3,07 	 2,87 	 3 	 4 	 188 	 992 	 5 	  
11:20 31.12.2019 	 3,16 	 2,97 	 3 	 4 	 183 	 993 	 4,9 	  
11:10 31.12.2019 	 3,24 	 2,98 	 3 	 4 	 184 	 993 	 4,9 	  
11:00 31.12.2019 	 3,32 	 3,15 	 3 	 4 	 183 	 993 	 4,8 	  
10:50 31.12.2019 	 3,39 	 3,13 	 3 	 4 	 184 	 993 	 5 	  
10:40 31.12.2019 	 3,45 	 3,26 	 3 	 4 	 200 	 993 	 4,9 	  
10:30 31.12.2019 	 3,51 	 3,27 	 4 	 6 	 196 	 993 	 5,2 	  
10:20 31.12.2019 	 3,55 	 3,27 	 5 	 6 	 194 	 993 	 5,5 	  
10:10 31.12.2019 	 3,59 	 3,38 	 5 	 6 	 180 	 994 	 5,5 	  
10:00 31.12.2019 	 3,63 	 3,35 	 5 	 6 	 179 	 994 	 5,5 	  
09:50 31.12.2019 	 3,65 	 3,38 	 5 	 5 	 176 	 994 	 5,5 	  
09:40 31.12.2019 	 3,66 	 3,43 	 5 	 7 	 182 	 995 	 5,5 	  
09:30 31.12.2019 	 3,67 	 3,36 	 6 	 7 	 179 	 995 	 5,6 	  
09:20 31.12.2019 	 3,66 	 3,45 	 6 	 8 	 171 	 995 	 5,5 	  
09:10 31.12.2019 	 3,65 	 3,38 	 6 	 8 	 160 	 995 	 5,6 	  
09:00 31.12.2019 	 3,63 	 3,38 	 5 	 6 	 155 	 996 	 5,5 	  
08:50 31.12.2019 	 3,6 	 3,41 	 5 	 7 	 164 	 996 	 5,1 	  
08:40 31.12.2019 	 3,57 	 3,32 	 5 	 6 	 167 	 996 	 5,2 	  
08:30 31.12.2019 	 3,52 	 3,29 	 5 	 6 	 167 	 997 	 5,1 	  
08:20 31.12.2019 	 3,47 	 3,25 	 5 	 6 	 172 	 997 	 5,2 	  
08:10 31.12.2019 	 3,41 	 3,17 	 6 	 7 	 172 	 998 	 5,1 	  
08:00 31.12.2019 	 3,34 	 3,14 	 6 	 8 	 177 	 998 	 5,3 	  
07:50 31.12.2019 	 3,27 	 3,09 	 7 	 8 	 180 	 998 	 5,3 	  
07:40 31.12.2019 	 3,19 	 2,98 	 8 	 11 	 182 	 998 	 5,4 	  
07:30 31.12.2019 	 3,1 	 2,9 	 9 	 12 	 182 	 999 	 5,5 	  
07:20 31.12.2019 	 3,01 	 2,79 	 11 	 14 	 181 	 999 	 5,5 	  
07:10 31.12.2019 	 2,91 	 2,72 	 11 	 14 	 179 	 999 	 5,6 	  
07:00 31.12.2019 	 2,81 	 2,64 	 11 	 14 	 179 	 999 	 5,6 	  
06:50 31.12.2019 	 2,71 	 2,53 	 11 	 13 	 178 	 1000 	 5,7 	  
06:40 31.12.2019 	 2,6 	 2,44 	 12 	 15 	 178 	 1000 	 5,7 	  
06:30 31.12.2019 	 2,5 	 2,27 	 12 	 17 	 177 	 1000 	 5,7 	  
06:20 31.12.2019 	 2,38 	 2,26 	 11 	 14 	 173 	 1000 	 5,8 	  
06:10 31.12.2019 	 2,27 	 2,07 	 8 	 10 	 173 	 1001 	 5,7 	  
06:00 31.12.2019 	 2,16 	 1,97 	 9 	 12 	 174 	 1001 	 5,9 	  
05:50 31.12.2019 	 2,05 	 1,85 	 11 	 13 	 173 	 1001 	 5,9 	  
05:40 31.12.2019 	 1,94 	 1,8 	 10 	 14 	 172 	 1001 	 5,9 	  
05:30 31.12.2019 	 1,83 	 1,66 	 10 	 13 	 168 	 1002 	 5,8 	  
05:20 31.12.2019 	 1,73 	 1,57 	 11 	 16 	 165 	 1002 	 5,8 	  
05:10 31.12.2019 	 1,63 	 1,51 	 9 	 13 	 165 	 1002 	 5,7 	  
05:00 31.12.2019 	 1,53 	 1,39 	 10 	 14 	 159 	 1003 	 5,8 	  
04:50 31.12.2019 	 1,44 	 1,31 	 10 	 14 	 153 	 1003 	 5,5 	  
04:40 31.12.2019 	 1,35 	 1,23 	 9 	 13 	 151 	 1003 	 5,2 	  
04:30 31.12.2019 	 1,27 	 1,18 	 10 	 13 	 150 	 1004 	 5,1 	  
04:20 31.12.2019 	 1,2 	 1,11 	 9 	 12 	 155 	 1004 	 5 	  
04:10 31.12.2019 	 1,14 	 1,04 	 9 	 12 	 150 	 1004 	 4,8 	  
04:00 31.12.2019 	 1,08 	 0,96 	 9 	 13 	 152 	 1005 	 4,7 	  
03:50 31.12.2019 	 1,04 	 0,95 	 8 	 11 	 158 	 1005 	 4,8 	  
03:40 31.12.2019 	 1 	 0,9 	 10 	 14 	 164 	 1006 	 4,8 	  
03:30 31.12.2019 	 0,97 	 0,84 	 9 	 13 	 163 	 1006 	 4,8 	  
03:20 31.12.2019 	 0,95 	 0,84 	 10 	 13 	 165 	 1006 	 4,7 	  
03:10 31.12.2019 	 0,94 	 0,84 	 8 	 11 	 162 	 1007 	 4,7 	  
03:00 31.12.2019 	 0,95 	 0,85 	 8 	 11 	 163 	 1007 	 4,6 	  
02:50 31.12.2019 	 0,96 	 0,87 	 8 	 11 	 157 	 1008 	 4,5 	  
02:40 31.12.2019 	 0,98 	 0,86 	 7 	 10 	 151 	 1008 	 4,3 	  
02:30 31.12.2019 	 1,01 	 0,92 	 6 	 9 	 152 	 1008 	 4 	  
02:20 31.12.2019 	 1,05 	 0,93 	 6 	 8 	 160 	 1009 	 4,1 	  
02:10 31.12.2019 	 1,11 	 1,02 	 6 	 8 	 168 	 1009 	 4,1 	  
02:00 31.12.2019 	 1,16 	 1,02 	 8 	 11 	 173 	 1009 	 4,2 	  
01:50 31.12.2019 	 1,23 	 1,08 	 8 	 10 	 174 	 1010 	 4,1 	  
01:40 31.12.2019 	 1,31 	 1,17 	 8 	 11 	 175 	 1010 	 4,1 	  
01:30 31.12.2019 	 1,39 	 1,25 	 8 	 11 	 179 	 1010 	 4,1 	  
01:20 31.12.2019 	 1,48 	 1,31 	 6 	 8 	 176 	 1011 	 4 	  
01:10 31.12.2019 	 1,57 	 1,41 	 8 	 12 	 179 	 1011 	 4 	  
01:00 31.12.2019 	 1,67 	 1,55 	 7 	 11 	 185 	 1011 	 4,5 	  
00:50 31.12.2019 	 1,77 	 1,56 	 8 	 11 	 192 	 1011 	 4,4 	  
00:40 31.12.2019 	 1,87 	 1,79 	 9 	 12 	 193 	 1011 	 4,3 	  
00:30 31.12.2019 	 1,98 	 1,82 	 11 	 16 	 194 	 1011 	 4,3 	  
00:20 31.12.2019 	 2,09 	 1,87 	 10 	 14 	 191 	 1011 	 4,2 	  
00:10 31.12.2019 	 2,2 	 2,07 	 9 	 14 	 195 	 1012 	 4,4 	  
00:00 31.12.2019 	 2,31 	 2,12 	 8 	 10 	 198 	 1012 	 4,5 	  
23:50 30.12.2019 	 2,41 	 2,26 	 9 	 15 	 192 	 1012 	 4,3 	  
23:40 30.12.2019 	 2,52 	 2,33 	 7 	 9 	 184 	 1012 	 4,7 	  
23:30 30.12.2019 	 2,62 	 2,5 	 7 	 10 	 185 	 1012 	 4,8 	  
23:20 30.12.2019 	 2,72 	 2,47 	 7 	 9 	 189 	 1012 	 4,8 	  
23:10 30.12.2019 	 2,82 	 2,6 	 8 	 10 	 194 	 1012 	 4,9 	  
23:00 30.12.2019 	 2,91 	 2,72 	 9 	 12 	 188 	 1012 	 4,9 	  
22:50 30.12.2019 	 2,99 	 2,76 	 8 	 11 	 189 	 1013 	 5,1 	  
22:40 30.12.2019 	 3,07 	 2,83 	 8 	 11 	 192 	 1013 	 4,9 	  
22:30 30.12.2019 	 3,14 	 2,89 	 9 	 12 	 190 	 1013 	 4,7 	  
22:20 30.12.2019 	 3,21 	 2,96 	 9 	 14 	 192 	 1013 	 4,8 	  
22:10 30.12.2019 	 3,26 	 3,08 	 9 	 12 	 195 	 1013 	 4,7 	  
22:00 30.12.2019 	 3,31 	 3,02 	 10 	 15 	 197 	 1013 	 4,8 	  
21:50 30.12.2019 	 3,36 	 3,14 	 9 	 12 	 198 	 1013 	 4,9 	  
21:40 30.12.2019 	 3,39 	 3,06 	 9 	 12 	 201 	 1013 	 4,8 	  
21:30 30.12.2019 	 3,41 	 3,26 	 10 	 13 	 203 	 1013 	 4,8 	  
21:20 30.12.2019 	 3,43 	 3,06 	 7 	 10 	 210 	 1013 	 4,4 	  
21:10 30.12.2019 	 3,44 	 3,15 	 10 	 13 	 203 	 1014 	 4,5 	  
21:00 30.12.2019 	 3,43 	 3,2 	 10 	 13 	 208 	 1014 	 4,6 	  
20:50 30.12.2019 	 3,42 	 3,13 	 7 	 10 	 213 	 1013 	 4,4 	  
20:40 30.12.2019 	 3,4 	 3,16 	 8 	 13 	 218 	 1013 	 4,4 	  
20:30 30.12.2019 	 3,37 	 3,15 	 8 	 12 	 210 	 1013 	 4,7 	  
20:20 30.12.2019 	 3,34 	 3,07 	 9 	 12 	 210 	 1013 	 4,7 	  
20:10 30.12.2019 	 3,29 	 3,06 	 10 	 15 	 209 	 1013 	 4,7 	  
20:00 30.12.2019 	 3,24 	 3,04 	 9 	 12 	 223 	 1013 	 4,6 	  
19:50 30.12.2019 	 3,18 	 2,91 	 10 	 13 	 214 	 1013 	 4,8 	  
19:40 30.12.2019 	 3,11 	 2,94 	 9 	 13 	 214 	 1013 	 4,9 	  
19:30 30.12.2019 	 3,03 	 2,82 	 8 	 11 	 222 	 1013 	 4,8 	  
19:20 30.12.2019 	 2,95 	 2,76 	 9 	 11 	 219 	 1013 	 4,8 	  
19:10 30.12.2019 	 2,86 	 2,68 	 9 	 12 	 217 	 1013 	 4,7 	  
19:00 30.12.2019 	 2,77 	 2,55 	 10 	 14 	 218 	 1013 	 4,7 	  
18:50 30.12.2019 	 2,67 	 2,52 	 10 	 14 	 217 	 1013 	 4,7 	  
18:40 30.12.2019 	 2,57 	 2,36 	 10 	 14 	 214 	 1013 	 4,7 	  
18:30 30.12.2019 	 2,46 	 2,29 	 9 	 13 	 220 	 1013 	 4,7 	  
18:20 30.12.2019 	 2,36 	 2,16 	 10 	 14 	 225 	 1013 	 4,6 	  
18:10 30.12.2019 	 2,24 	 2,1 	 11 	 15 	 227 	 1013 	 4,7 	  
18:00 30.12.2019 	 2,13 	 1,97 	 11 	 15 	 224 	 1013 	 4,6 	  
17:50 30.12.2019 	 2,02 	 1,87 	 10 	 14 	 227 	 1013 	 5 	  
17:40 30.12.2019 	 1,91 	 1,77 	 11 	 14 	 228 	 1013 	 4,4 	  
17:30 30.12.2019 	 1,8 	 1,62 	 9 	 15 	 234 	 1012 	 4,2 	  
17:20 30.12.2019 	 1,69 	 1,58 	 6 	 12 	 164 	 1012 	 3,8 	  
17:10 30.12.2019 	 1,58 	 1,47 	 5 	 6 	 148 	 1012 	 2,6 	  
17:00 30.12.2019 	 1,48 	 1,38 	 5 	 6 	 149 	 1012 	 2,4 	  
16:50 30.12.2019 	 1,38 	 1,26 	 5 	 6 	 147 	 1012 	 2,4 	  
16:40 30.12.2019 	 1,29 	 1,25 	 5 	 6 	 139 	 1012 	 2,4 	  
16:30 30.12.2019 	 1,21 	 1,11 	 4 	 6 	 136 	 1012 	 2,4 	  
16:20 30.12.2019 	 1,13 	 1,09 	 5 	 5 	 140 	 1012 	 2,3 	  
16:10 30.12.2019 	 1,06 	 1,01 	 5 	 6 	 150 	 1012 	 2,7 	  
16:00 30.12.2019 	 1 	 0,95 	 5 	 6 	 151 	 1012 	 3 	  
15:50 30.12.2019 	 0,95 	 0,98 	 5 	 5 	 149 	 1012 	 2,8 	  
15:40 30.12.2019 	 0,9 	 0,86 	 5 	 6 	 144 	 1012 	 2,7 	  
15:30 30.12.2019 	 0,87 	 0,84 	 4 	 6 	 149 	 1012 	 2,6 	  
15:20 30.12.2019 	 0,85 	 0,9 	 4 	 6 	 151 	 1012 	 2,7 	  
15:10 30.12.2019 	 0,84 	 0,85 	 4 	 5 	 149 	 1012 	 2,7 	  
15:00 30.12.2019 	 0,83 	 0,85 	 3 	 4 	 147 	 1012 	 2,8 	  
14:50 30.12.2019 	 0,85 	 0,82 	 3 	 4 	 188 	 1012 	 3,8 	  
14:40 30.12.2019 	 0,87 	 0,92 	 3 	 5 	 181 	 1012 	 3,8 	  
14:30 30.12.2019 	 0,9 	 0,93 	 3 	 4 	 143 	 1012 	 2,6 	  
14:20 30.12.2019 	 0,94 	 0,94 	 3 	 4 	 186 	 1012 	 4,1 	  
14:10 30.12.2019 	 1 	 0,98 	 5 	 7 	 200 	 1012 	 4,1 	  
14:00 30.12.2019 	 1,06 	 1,07 	 6 	 8 	 202 	 1012 	 4,2 	  
13:50 30.12.2019 	 1,13 	 1,09 	 4 	 8 	 200 	 1012 	 4,3 	  
13:40 30.12.2019 	 1,21 	 1,21 	 5 	 7 	 200 	 1012 	 4 	  
13:30 30.12.2019 	 1,3 	 1,27 	 6 	 9 	 204 	 1012 	 4 	  
13:20 30.12.2019 	 1,4 	 1,37 	 5 	 8 	 189 	 1012 	 3,8 	  
13:10 30.12.2019 	 1,51 	 1,46 	 6 	 8 	 205 	 1012 	 3,9 	  
13:00 30.12.2019 	 1,62 	 1,54 	 5 	 8 	 199 	 1012 	 3,7 	  
12:50 30.12.2019 	 1,73 	 1,66 	 6 	 7 	 198 	 1012 	 3,6 	  
12:40 30.12.2019 	 1,85 	 1,8 	 7 	 10 	 202 	 1012 	 3,6 	  
12:30 30.12.2019 	 1,98 	 1,87 	 7 	 10 	 208 	 1012 	 3,5 	  
12:20 30.12.2019 	 2,1 	 2,05 	 6 	 7 	 202 	 1012 	 3,5 	  
12:10 30.12.2019 	 2,23 	 2,13 	 5 	 7 	 207 	 1012 	 3,4 	  
12:00 30.12.2019 	 2,36 	 2,23 	 4 	 7 	 208 	 1012 	 3,4 	  
11:50 30.12.2019 	 2,49 	 2,41 	 4 	 6 	 216 	 1012 	 3,3 	  
11:40 30.12.2019 	 2,61 	 2,48 	 3 	 4 	 204 	 1012 	 3,2 	  
11:30 30.12.2019 	 2,74 	 2,6 	 4 	 5 	 226 	 1011 	 3,2 	  
11:20 30.12.2019 	 2,86 	 2,71 	 3 	 5 	 214 	 1011 	 3,2 	  
11:10 30.12.2019 	 2,97 	 2,83 	 3 	 4 	 217 	 1011 	 3,1 	  
11:00 30.12.2019 	 3,08 	 2,93 	 3 	 5 	 206 	 1011 	 3,1 	  
10:50 30.12.2019 	 3,19 	 3,01 	 2 	 4 	 209 	 1011 	 3,1 	  
10:40 30.12.2019 	 3,29 	 3,1 	 2 	 3 	 199 	 1011 	 3,1 	  
10:30 30.12.2019 	 3,38 	 3,22 	 4 	 6 	 235 	 1011 	 3 	  
10:20 30.12.2019 	 3,47 	 3,27 	 4 	 5 	 212 	 1011 	 3,1 	  
10:10 30.12.2019 	 3,55 	 3,37 	 4 	 5 	 226 	 1011 	 3,1 	  
10:00 30.12.2019 	 3,62 	 3,42 	 4 	 6 	 251 	 1011 	 3,2 	  
09:50 30.12.2019 	 3,68 	 3,46 	 2 	 4 	 262 	 1010 	 3,1 	  
09:40 30.12.2019 	 3,73 	 3,5 	 4 	 6 	 235 	 1011 	 3,1 	  
09:30 30.12.2019 	 3,78 	 3,55 	 5 	 8 	 239 	 1010 	 3,1 	  
09:20 30.12.2019 	 3,81 	 3,58 	 4 	 6 	 251 	 1010 	 3,1 	  
09:10 30.12.2019 	 3,84 	 3,63 	 4 	 7 	 256 	 1010 	 3 	  
09:00 30.12.2019 	 3,85 	 3,61 	 5 	 6 	 249 	 1010 	 3 	  
08:50 30.12.2019 	 3,86 	 3,63 	 4 	 6 	 284 	 1010 	 3 	  
08:40 30.12.2019 	 3,86 	 3,6 	 4 	 6 	 256 	 1010 	 3 	  
08:30 30.12.2019 	 3,84 	 3,64 	 4 	 6 	 271 	 1009 	 2,9 	  
08:20 30.12.2019 	 3,82 	 3,63 	 4 	 6 	 271 	 1009 	 2,9 	  
08:10 30.12.2019 	 3,79 	 3,54 	 4 	 6 	 279 	 1009 	 3 	  
08:00 30.12.2019 	 3,75 	 3,54 	 4 	 6 	 284 	 1009 	 3 	  
07:50 30.12.2019 	 3,69 	 3,51 	 3 	 5 	 285 	 1009 	 3,1 	  
07:40 30.12.2019 	 3,63 	 3,43 	 3 	 5 	 294 	 1008 	 3 	  
07:30 30.12.2019 	 3,57 	 3,37 	 4 	 7 	 261 	 1008 	 3 	  
07:20 30.12.2019 	 3,49 	 3,28 	 4 	 5 	 298 	 1008 	 3 	  
07:10 30.12.2019 	 3,41 	 3,2 	 4 	 7 	 298 	 1008 	 3 	  
07:00 30.12.2019 	 3,31 	 3,14 	 5 	 8 	 283 	 1007 	 3 	  
06:50 30.12.2019 	 3,22 	 3,03 	 4 	 7 	 281 	 1007 	 3 	  
06:40 30.12.2019 	 3,11 	 2,94 	 4 	 6 	 304 	 1007 	 3,1 	  
06:30 30.12.2019 	 3 	 2,83 	 4 	 6 	 272 	 1007 	 3,1 	  
06:20 30.12.2019 	 2,89 	 2,7 	 5 	 8 	 275 	 1007 	 3,1 	  
06:10 30.12.2019 	 2,77 	 2,6 	 4 	 7 	 268 	 1007 	 3,1 	  
06:00 30.12.2019 	 2,65 	 2,46 	 4 	 7 	 277 	 1006 	 3,2 	  
05:50 30.12.2019 	 2,52 	 2,37 	 4 	 6 	 290 	 1006 	 3,3 	  
05:40 30.12.2019 	 2,39 	 2,2 	 4 	 6 	 308 	 1006 	 3,4 	  
05:30 30.12.2019 	 2,27 	 2,13 	 4 	 7 	 300 	 1006 	 3,4 	  
05:20 30.12.2019 	 2,14 	 1,99 	 5 	 7 	 308 	 1006 	 3,5 	  
05:10 30.12.2019 	 2,01 	 1,82 	 5 	 7 	 293 	 1005 	 3,5 	  
05:00 30.12.2019 	 1,89 	 1,76 	 4 	 6 	 291 	 1005 	 3,6 	  
04:50 30.12.2019 	 1,76 	 1,6 	 4 	 6 	 294 	 1005 	 3,6 	  
04:40 30.12.2019 	 1,64 	 1,52 	 3 	 5 	 285 	 1005 	 3,5 	  
04:30 30.12.2019 	 1,53 	 1,4 	 3 	 5 	 302 	 1005 	 3,6 	  
04:20 30.12.2019 	 1,42 	 1,29 	 3 	 6 	 278 	 1004 	 3,5 	  
04:10 30.12.2019 	 1,32 	 1,23 	 1 	 3 	 307 	 1004 	 3 	  
04:00 30.12.2019 	 1,22 	 1,12 	 1 	 2 	 282 	 1004 	 2,5 	  
03:50 30.12.2019 	 1,13 	 1,05 	 1 	 2 	 10 	 1004 	 2,5 	  
03:40 30.12.2019 	 1,05 	 1,01 	 2 	 4 	 7 	 1004 	 2,5 	  
03:30 30.12.2019 	 0,98 	 0,86 	 3 	 4 	 2 	 1003 	 2,7 	  
03:20 30.12.2019 	 0,92 	 0,85 	 3 	 4 	 356 	 1003 	 2,7 	  
03:10 30.12.2019 	 0,87 	 0,83 	 3 	 5 	 345 	 1003 	 3,3 	  
03:00 30.12.2019 	 0,83 	 0,75 	 4 	 6 	 343 	 1003 	 3,3 	  
02:50 30.12.2019 	 0,8 	 0,77 	 5 	 6 	 341 	 1003 	 3,3 	  
02:40 30.12.2019 	 0,78 	 0,72 	 5 	 7 	 347 	 1002 	 3,2 	  
02:30 30.12.2019 	 0,77 	 0,71 	 6 	 8 	 344 	 1002 	 3,3 	  
02:20 30.12.2019 	 0,77 	 0,7 	 6 	 8 	 337 	 1002 	 3,4 	  
02:10 30.12.2019 	 0,79 	 0,76 	 6 	 7 	 332 	 1002 	 3,4 	  
02:00 30.12.2019 	 0,82 	 0,77 	 5 	 7 	 334 	 1002 	 3,4 	  
01:50 30.12.2019 	 0,85 	 0,8 	 5 	 7 	 335 	 1002 	 3,4 	  
01:40 30.12.2019 	 0,9 	 0,86 	 6 	 8 	 334 	 1002 	 3,3 	  
01:30 30.12.2019 	 0,96 	 0,89 	 7 	 9 	 337 	 1001 	 3,3 	  
01:20 30.12.2019 	 1,03 	 0,94 	 7 	 9 	 344 	 1001 	 3,2 	  
01:10 30.12.2019 	 1,11 	 1,01 	 7 	 9 	 347 	 1001 	 3,2 	  
01:00 30.12.2019 	 1,19 	 1,11 	 7 	 9 	 347 	 1001 	 3,2 	  
00:50 30.12.2019 	 1,29 	 1,16 	 7 	 9 	 343 	 1001 	 3,4 	  
00:40 30.12.2019 	 1,39 	 1,28 	 7 	 9 	 337 	 1001 	 3,6 	  
00:30 30.12.2019 	 1,5 	 1,36 	 6 	 8 	 343 	 1000 	 3,4 	  
