 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
19:50 31.12.2019 	 2,08 	 2,39 	 3 	 6 	 173 	 994 	 9 	  
19:40 31.12.2019 	 2,04 	 2,17 	 3 	 5 	 166 	 994 	 9 	  
19:30 31.12.2019 	 1,98 	 2,12 	 2 	 4 	 154 	 994 	 9 	  
19:20 31.12.2019 	 1,93 	 1,96 	 2 	 5 	 164 	 994 	 9 	  
19:10 31.12.2019 	 1,87 	 1,94 	 3 	 6 	 187 	 994 	 9,1 	  
19:00 31.12.2019 	 1,81 	 1,93 	 3 	 8 	 200 	 995 	 9,1 	  
18:50 31.12.2019 	 1,75 	 1,88 	 2 	 5 	 189 	 995 	 9,1 	  
18:40 31.12.2019 	 1,69 	 1,8 	 1 	 4 	 187 	 995 	 9,1 	  
18:30 31.12.2019 	 1,62 	 1,73 	 2 	 6 	 217 	 995 	 9,2 	  
18:20 31.12.2019 	 1,55 	 1,75 	 3 	 7 	 226 	 995 	 9,2 	  
18:10 31.12.2019 	 1,48 	 1,58 	 4 	 8 	 230 	 995 	 9,3 	  
18:00 31.12.2019 	 1,41 	 1,58 	 3 	 7 	 242 	 995 	 9,3 	  
17:50 31.12.2019 	 1,35 	 1,46 	 3 	 7 	 247 	 995 	 9,2 	  
17:40 31.12.2019 	 1,28 	 1,48 	 4 	 8 	 232 	 995 	 9,1 	  
17:30 31.12.2019 	 1,22 	 1,33 	 5 	 10 	 232 	 995 	 9,1 	  
17:20 31.12.2019 	 1,16 	 1,32 	 4 	 11 	 233 	 994 	 9,1 	  
17:10 31.12.2019 	 1,09 	 1,17 	 5 	 10 	 228 	 994 	 9,1 	  
17:00 31.12.2019 	 1,04 	 1,29 	 5 	 11 	 237 	 994 	 9,1 	  
16:50 31.12.2019 	 0,98 	 1,16 	 5 	 11 	 233 	 994 	 9,1 	  
16:40 31.12.2019 	 0,92 	 1,09 	 5 	 16 	 240 	 994 	 9,2 	  
16:30 31.12.2019 	 0,88 	 1,16 	 6 	 14 	 223 	 994 	 9,3 	  
16:20 31.12.2019 	 0,83 	 0,97 	 6 	 18 	 222 	 994 	 9,7 	  
16:10 31.12.2019 	 0,8 	 0,94 	 6 	 15 	 236 	 994 	 9,6 	  
16:00 31.12.2019 	 0,77 	 1,06 	 6 	 13 	 215 	 994 	 10 	  
15:50 31.12.2019 	 0,74 	 0,95 	 5 	 11 	 204 	 994 	 10,1 	  
15:40 31.12.2019 	 0,72 	 0,83 	 4 	 9 	 212 	 994 	 10,2 	  
15:30 31.12.2019 	 0,71 	 0,96 	 5 	 12 	 207 	 994 	 10,3 	  
15:20 31.12.2019 	 0,7 	 0,97 	 5 	 12 	 209 	 994 	 10,5 	  
15:10 31.12.2019 	 0,7 	 0,88 	 6 	 14 	 207 	 994 	 10,7 	  
15:00 31.12.2019 	 0,71 	 0,97 	 7 	 17 	 202 	 994 	 10,8 	  
14:50 31.12.2019 	 0,72 	 0,89 	 9 	 17 	 198 	 994 	 10,8 	  
14:40 31.12.2019 	 0,74 	 0,99 	 10 	 19 	 196 	 994 	 10,9 	  
14:30 31.12.2019 	 0,76 	 1 	 8 	 17 	 191 	 994 	 10,8 	  
14:20 31.12.2019 	 0,8 	 1,01 	 9 	 17 	 191 	 994 	 10,8 	  
14:10 31.12.2019 	 0,84 	 1,07 	 10 	 16 	 187 	 994 	 10,8 	  
14:00 31.12.2019 	 0,88 	 1,1 	 9 	 16 	 186 	 994 	 10,7 	  
13:50 31.12.2019 	 0,93 	 1,26 	 10 	 16 	 185 	 994 	 10,8 	  
13:40 31.12.2019 	 0,99 	 1,19 	 10 	 18 	 187 	 994 	 10,8 	  
13:30 31.12.2019 	 1,05 	 1,17 	 10 	 18 	 186 	 994 	 10,8 	  
13:20 31.12.2019 	 1,11 	 1,31 	 11 	 18 	 188 	 995 	 10,9 	  
13:10 31.12.2019 	 1,18 	 1,52 	 11 	 19 	 187 	 995 	 10,7 	  
13:00 31.12.2019 	 1,25 	 1,45 	 12 	 20 	 186 	 995 	 10,9 	  
12:50 31.12.2019 	 1,32 	 1,51 	 11 	 20 	 189 	 995 	 10,9 	  
12:40 31.12.2019 	 1,4 	 1,67 	 13 	 25 	 186 	 995 	 10,9 	  
12:30 31.12.2019 	 1,48 	 1,73 	 10 	 18 	 181 	 995 	 10,8 	  
12:20 31.12.2019 	 1,55 	 1,73 	 11 	 22 	 185 	 996 	 10,8 	  
12:10 31.12.2019 	 1,63 	 1,82 	 10 	 18 	 182 	 996 	 10,7 	  
12:00 31.12.2019 	 1,71 	 2 	 11 	 22 	 180 	 996 	 10,7 	  
11:50 31.12.2019 	 1,79 	 2,03 	 12 	 21 	 182 	 996 	 10,8 	  
11:40 31.12.2019 	 1,86 	 1,99 	 12 	 21 	 182 	 996 	 10,8 	  
11:30 31.12.2019 	 1,94 	 2,16 	 10 	 21 	 183 	 997 	 10,7 	  
11:20 31.12.2019 	 2,01 	 2,23 	 11 	 18 	 176 	 997 	 10,6 	  
11:10 31.12.2019 	 2,08 	 2,32 	 11 	 20 	 177 	 997 	 10,5 	  
11:00 31.12.2019 	 2,15 	 2,34 	 10 	 19 	 170 	 997 	 10,3 	  
10:50 31.12.2019 	 2,21 	 2,4 	 9 	 16 	 172 	 997 	 10,3 	  
10:40 31.12.2019 	 2,27 	 2,49 	 9 	 16 	 171 	 997 	 10,2 	  
10:30 31.12.2019 	 2,32 	 2,49 	 10 	 19 	 171 	 998 	 10,3 	  
10:20 31.12.2019 	 2,37 	 2,54 	 9 	 16 	 172 	 998 	 10,2 	  
10:10 31.12.2019 	 2,42 	 2,62 	 8 	 16 	 171 	 998 	 10,2 	  
10:00 31.12.2019 	 2,46 	 2,67 	 10 	 17 	 175 	 999 	 10,2 	  
09:50 31.12.2019 	 2,49 	 2,68 	 10 	 16 	 173 	 999 	 10,2 	  
09:40 31.12.2019 	 2,51 	 2,67 	 11 	 19 	 177 	 999 	 10,3 	  
09:30 31.12.2019 	 2,54 	 2,65 	 11 	 20 	 179 	 999 	 10,3 	  
09:20 31.12.2019 	 2,56 	 2,74 	 10 	 19 	 177 	 1000 	 10,3 	  
09:10 31.12.2019 	 2,56 	 2,75 	 10 	 17 	 175 	 1000 	 10,1 	  
09:00 31.12.2019 	 2,57 	 2,74 	 9 	 21 	 173 	 1000 	 10 	  
08:50 31.12.2019 	 2,56 	 2,72 	 9 	 16 	 170 	 1001 	 9,9 	  
08:40 31.12.2019 	 2,56 	 2,7 	 10 	 17 	 170 	 1001 	 9,9 	  
08:30 31.12.2019 	 2,54 	 2,7 	 9 	 17 	 170 	 1001 	 9,8 	  
08:20 31.12.2019 	 2,52 	 2,69 	 7 	 13 	 167 	 1001 	 9,5 	  
08:10 31.12.2019 	 2,5 	 2,64 	 9 	 15 	 165 	 1002 	 9,4 	  
08:00 31.12.2019 	 2,46 	 2,58 	 11 	 17 	 163 	 1002 	 9,3 	  
07:50 31.12.2019 	 2,43 	 2,56 	 11 	 17 	 163 	 1002 	 9,2 	  
07:40 31.12.2019 	 2,39 	 2,44 	 11 	 18 	 162 	 1003 	 9,1 	  
07:30 31.12.2019 	 2,34 	 2,39 	 11 	 17 	 160 	 1003 	 9,1 	  
07:20 31.12.2019 	 2,29 	 2,38 	 11 	 16 	 160 	 1003 	 9 	  
07:10 31.12.2019 	 2,23 	 2,34 	 9 	 14 	 164 	 1004 	 8,9 	  
07:00 31.12.2019 	 2,17 	 2,21 	 7 	 13 	 170 	 1004 	 8,8 	  
06:50 31.12.2019 	 2,11 	 2,16 	 8 	 17 	 167 	 1005 	 8,8 	  
06:40 31.12.2019 	 2,04 	 2,14 	 8 	 15 	 167 	 1005 	 8,6 	  
06:30 31.12.2019 	 1,97 	 2,01 	 8 	 15 	 164 	 1005 	 8,7 	  
06:20 31.12.2019 	 1,9 	 1,91 	 9 	 14 	 165 	 1006 	 8,5 	  
06:10 31.12.2019 	 1,82 	 1,89 	 7 	 11 	 167 	 1006 	 8,1 	  
06:00 31.12.2019 	 1,75 	 1,81 	 9 	 15 	 180 	 1006 	 8 	  
05:50 31.12.2019 	 1,67 	 1,62 	 11 	 18 	 181 	 1007 	 8,1 	  
05:40 31.12.2019 	 1,59 	 1,61 	 9 	 16 	 179 	 1007 	 8,3 	  
05:30 31.12.2019 	 1,51 	 1,56 	 9 	 18 	 174 	 1007 	 8,4 	  
05:20 31.12.2019 	 1,44 	 1,45 	 10 	 17 	 172 	 1007 	 8,4 	  
05:10 31.12.2019 	 1,36 	 1,32 	 8 	 16 	 171 	 1007 	 8,6 	  
05:00 31.12.2019 	 1,28 	 1,31 	 8 	 15 	 170 	 1008 	 8,7 	  
04:50 31.12.2019 	 1,21 	 1,21 	 9 	 13 	 164 	 1008 	 8,8 	  
04:40 31.12.2019 	 1,14 	 1,11 	 8 	 14 	 160 	 1008 	 8,6 	  
04:30 31.12.2019 	 1,07 	 1,05 	 8 	 12 	 161 	 1009 	 8,2 	  
04:20 31.12.2019 	 1,01 	 0,96 	 8 	 12 	 162 	 1009 	 8,2 	  
04:10 31.12.2019 	 0,95 	 0,98 	 7 	 12 	 167 	 1009 	 8,1 	  
04:00 31.12.2019 	 0,89 	 0,93 	 7 	 13 	 166 	 1010 	 8,1 	  
03:50 31.12.2019 	 0,84 	 0,77 	 6 	 12 	 167 	 1010 	 8 	  
03:40 31.12.2019 	 0,8 	 0,78 	 7 	 13 	 168 	 1010 	 8 	  
03:30 31.12.2019 	 0,76 	 0,79 	 6 	 10 	 170 	 1011 	 8 	  
03:20 31.12.2019 	 0,73 	 0,6 	 7 	 13 	 179 	 1011 	 7,9 	  
03:10 31.12.2019 	 0,7 	 0,65 	 7 	 14 	 177 	 1011 	 8 	  
03:00 31.12.2019 	 0,68 	 0,73 	 6 	 11 	 172 	 1011 	 7,9 	  
02:50 31.12.2019 	 0,67 	 0,61 	 8 	 15 	 162 	 1012 	 8,1 	  
02:40 31.12.2019 	 0,66 	 0,55 	 7 	 13 	 162 	 1012 	 7,9 	  
02:30 31.12.2019 	 0,67 	 0,66 	 7 	 11 	 160 	 1012 	 7,6 	  
02:20 31.12.2019 	 0,67 	 0,57 	 7 	 11 	 163 	 1013 	 7,5 	  
02:10 31.12.2019 	 0,69 	 0,59 	 5 	 8 	 162 	 1013 	 7,3 	  
02:00 31.12.2019 	 0,71 	 0,69 	 6 	 10 	 168 	 1013 	 7,3 	  
01:50 31.12.2019 	 0,74 	 0,68 	 5 	 10 	 174 	 1014 	 7,2 	  
01:40 31.12.2019 	 0,78 	 0,65 	 6 	 12 	 173 	 1014 	 7,1 	  
01:30 31.12.2019 	 0,81 	 0,78 	 6 	 11 	 177 	 1014 	 7,4 	  
01:20 31.12.2019 	 0,86 	 0,81 	 7 	 12 	 174 	 1014 	 7,5 	  
01:10 31.12.2019 	 0,92 	 0,78 	 6 	 11 	 167 	 1014 	 7,6 	  
01:00 31.12.2019 	 0,97 	 0,98 	 4 	 9 	 171 	 1014 	 8 	  
00:50 31.12.2019 	 1,04 	 0,95 	 6 	 12 	 187 	 1014 	 7,9 	  
00:40 31.12.2019 	 1,1 	 0,89 	 6 	 11 	 181 	 1015 	 8,1 	  
00:30 31.12.2019 	 1,17 	 1,07 	 5 	 9 	 179 	 1015 	 8,1 	  
00:20 31.12.2019 	 1,24 	 1,25 	 6 	 10 	 187 	 1015 	 8,1 	  
00:10 31.12.2019 	 1,31 	 1,18 	 4 	 6 	 179 	 1015 	 7,9 	  
00:00 31.12.2019 	 1,39 	 1,25 	 3 	 6 	 175 	 1015 	 7,8 	  
23:50 30.12.2019 	 1,46 	 1,41 	 2 	 4 	 161 	 1015 	 7,6 	  
23:40 30.12.2019 	 1,54 	 1,46 	 3 	 7 	 169 	 1015 	 7,5 	  
23:30 30.12.2019 	 1,62 	 1,48 	 4 	 10 	 184 	 1015 	 7,5 	  
23:20 30.12.2019 	 1,69 	 1,55 	 3 	 7 	 200 	 1016 	 7,8 	  
23:10 30.12.2019 	 1,76 	 1,69 	 3 	 7 	 197 	 1016 	 7,7 	  
23:00 30.12.2019 	 1,83 	 1,73 	 3 	 7 	 188 	 1016 	 7,4 	  
22:50 30.12.2019 	 1,9 	 1,73 	 2 	 6 	 194 	 1016 	 7,3 	  
22:40 30.12.2019 	 1,97 	 1,89 	 4 	 8 	 211 	 1016 	 7 	  
22:30 30.12.2019 	 2,04 	 1,92 	 2 	 6 	 202 	 1016 	 7,5 	  
22:20 30.12.2019 	 2,09 	 1,92 	 3 	 7 	 199 	 1016 	 7,4 	  
22:10 30.12.2019 	 2,15 	 2,14 	 2 	 5 	 204 	 1016 	 7,3 	  
22:00 30.12.2019 	 2,2 	 2,11 	 2 	 7 	 190 	 1016 	 6,9 	  
21:50 30.12.2019 	 2,25 	 2,06 	 4 	 10 	 230 	 1016 	 6,9 	  
21:40 30.12.2019 	 2,28 	 2,16 	 4 	 12 	 207 	 1016 	 7,2 	  
21:30 30.12.2019 	 2,32 	 2,26 	 3 	 8 	 216 	 1016 	 7,6 	  
21:20 30.12.2019 	 2,35 	 2,24 	 5 	 9 	 234 	 1016 	 7,4 	  
21:10 30.12.2019 	 2,37 	 2,24 	 4 	 10 	 242 	 1016 	 7,5 	  
21:00 30.12.2019 	 2,39 	 2,28 	 3 	 11 	 241 	 1016 	 7,7 	  
20:50 30.12.2019 	 2,4 	 2,35 	 5 	 11 	 224 	 1016 	 7,6 	  
20:40 30.12.2019 	 2,41 	 2,31 	 4 	 9 	 236 	 1016 	 7,5 	  
20:30 30.12.2019 	 2,4 	 2,31 	 4 	 10 	 241 	 1016 	 7,2 	  
20:20 30.12.2019 	 2,39 	 2,3 	 4 	 13 	 264 	 1016 	 6,8 	  
20:10 30.12.2019 	 2,38 	 2,33 	 4 	 14 	 219 	 1016 	 7,6 	  
20:00 30.12.2019 	 2,36 	 2,24 	 3 	 9 	 257 	 1016 	 7,6 	  
19:50 30.12.2019 	 2,34 	 2,22 	 3 	 8 	 261 	 1016 	 7,2 	  
19:40 30.12.2019 	 2,3 	 2,28 	 6 	 17 	 242 	 1016 	 7,1 	  
19:30 30.12.2019 	 2,27 	 2,21 	 4 	 9 	 241 	 1015 	 7,9 	  
19:20 30.12.2019 	 2,23 	 2,08 	 5 	 12 	 233 	 1015 	 7,7 	  
19:10 30.12.2019 	 2,18 	 2,07 	 7 	 14 	 240 	 1015 	 7,9 	  
19:00 30.12.2019 	 2,12 	 2,07 	 5 	 11 	 223 	 1015 	 8 	  
18:50 30.12.2019 	 2,07 	 1,97 	 6 	 13 	 220 	 1015 	 7,9 	  
18:40 30.12.2019 	 2 	 1,91 	 5 	 13 	 259 	 1015 	 7,9 	  
18:30 30.12.2019 	 1,94 	 1,87 	 5 	 13 	 232 	 1016 	 7,9 	  
18:20 30.12.2019 	 1,87 	 1,77 	 6 	 16 	 234 	 1015 	 7,8 	  
18:10 30.12.2019 	 1,8 	 1,66 	 5 	 15 	 221 	 1015 	 7,6 	  
18:00 30.12.2019 	 1,72 	 1,62 	 5 	 15 	 248 	 1015 	 7,4 	  
17:50 30.12.2019 	 1,65 	 1,61 	 4 	 14 	 242 	 1015 	 7,8 	  
17:40 30.12.2019 	 1,57 	 1,5 	 6 	 13 	 236 	 1015 	 7,5 	  
17:30 30.12.2019 	 1,49 	 1,46 	 7 	 16 	 233 	 1015 	 7,6 	  
17:20 30.12.2019 	 1,41 	 1,36 	 6 	 13 	 219 	 1014 	 7,7 	  
17:10 30.12.2019 	 1,34 	 1,28 	 6 	 14 	 231 	 1014 	 7,3 	  
17:00 30.12.2019 	 1,26 	 1,26 	 7 	 14 	 236 	 1014 	 7,6 	  
16:50 30.12.2019 	 1,18 	 1,19 	 5 	 12 	 248 	 1014 	 7,6 	  
16:40 30.12.2019 	 1,11 	 1,07 	 2 	 4 	 86 	 1014 	 6,5 	  
16:30 30.12.2019 	 1,04 	 1,02 	 1 	 3 	 82 	 1014 	 6,1 	  
16:20 30.12.2019 	 0,97 	 1,03 	 2 	 3 	 87 	 1014 	 5,9 	  
16:10 30.12.2019 	 0,9 	 0,91 	 1 	 2 	 101 	 1014 	 5,9 	  
16:00 30.12.2019 	 0,85 	 0,84 	 1 	 2 	 135 	 1014 	 5,9 	  
15:50 30.12.2019 	 0,79 	 0,88 	 2 	 3 	 99 	 1014 	 6 	  
15:40 30.12.2019 	 0,74 	 0,79 	 1 	 2 	 95 	 1014 	 6 	  
15:30 30.12.2019 	 0,7 	 0,7 	 2 	 4 	 218 	 1014 	 5,9 	  
15:20 30.12.2019 	 0,67 	 0,72 	 2 	 4 	 194 	 1014 	 6,2 	  
15:10 30.12.2019 	 0,63 	 0,73 	 3 	 4 	 187 	 1014 	 6,4 	  
15:00 30.12.2019 	 0,61 	 0,68 	 2 	 3 	 227 	 1014 	 6,4 	  
14:50 30.12.2019 	 0,6 	 0,55 	 1 	 2 	 238 	 1014 	 6,5 	  
14:40 30.12.2019 	 0,59 	 0,7 	 1 	 3 	 308 	 1014 	 6,6 	  
14:30 30.12.2019 	 0,58 	 0,73 	 1 	 3 	 306 	 1014 	 6,6 	  
14:20 30.12.2019 	 0,6 	 0,58 	 1 	 4 	 283 	 1014 	 6,5 	  
14:10 30.12.2019 	 0,61 	 0,74 	 2 	 4 	 287 	 1014 	 6,6 	  
14:00 30.12.2019 	 0,63 	 0,75 	 3 	 8 	 269 	 1014 	 6,6 	  
13:50 30.12.2019 	 0,66 	 0,63 	 2 	 5 	 259 	 1014 	 6,5 	  
13:40 30.12.2019 	 0,7 	 0,77 	 2 	 6 	 252 	 1014 	 6,3 	  
13:30 30.12.2019 	 0,74 	 0,9 	 2 	 6 	 278 	 1014 	 6,1 	  
13:20 30.12.2019 	 0,79 	 0,87 	 2 	 5 	 259 	 1014 	 5,8 	  
13:10 30.12.2019 	 0,85 	 0,88 	 3 	 5 	 243 	 1014 	 5,7 	  
13:00 30.12.2019 	 0,91 	 1,04 	 2 	 5 	 265 	 1014 	 6 	  
12:50 30.12.2019 	 0,98 	 1,04 	 2 	 7 	 260 	 1014 	 6 	  
12:40 30.12.2019 	 1,06 	 1,13 	 2 	 6 	 246 	 1014 	 5,9 	  
12:30 30.12.2019 	 1,13 	 1,27 	 2 	 5 	 265 	 1013 	 5,8 	  
12:20 30.12.2019 	 1,21 	 1,25 	 3 	 7 	 240 	 1013 	 5,8 	  
12:10 30.12.2019 	 1,3 	 1,36 	 3 	 5 	 246 	 1013 	 5,8 	  
12:00 30.12.2019 	 1,39 	 1,5 	 2 	 7 	 218 	 1013 	 5,7 	  
11:50 30.12.2019 	 1,47 	 1,55 	 2 	 6 	 225 	 1012 	 5,5 	  
11:40 30.12.2019 	 1,56 	 1,62 	 3 	 9 	 222 	 1012 	 5,5 	  
11:30 30.12.2019 	 1,65 	 1,81 	 3 	 10 	 244 	 1012 	 5,6 	  
11:20 30.12.2019 	 1,74 	 1,77 	 2 	 4 	 292 	 1012 	 5,7 	  
11:10 30.12.2019 	 1,83 	 1,86 	 4 	 10 	 250 	 1012 	 5,6 	  
11:00 30.12.2019 	 1,92 	 1,96 	 2 	 6 	 112 	 1011 	 5,7 	  
10:50 30.12.2019 	 2 	 2,12 	 3 	 7 	 198 	 1011 	 5,8 	  
10:40 30.12.2019 	 2,08 	 2,14 	 3 	 10 	 44 	 1011 	 5,9 	  
10:30 30.12.2019 	 2,16 	 2,16 	 3 	 6 	 27 	 1011 	 5,7 	  
10:20 30.12.2019 	 2,23 	 2,34 	 3 	 5 	 6 	 1011 	 4,8 	  
10:10 30.12.2019 	 2,3 	 2,44 	 2 	 6 	 353 	 1011 	 5,1 	  
10:00 30.12.2019 	 2,37 	 2,36 	 3 	 5 	 15 	 1011 	 5 	  
09:50 30.12.2019 	 2,43 	 2,5 	 2 	 5 	 3 	 1011 	 4,5 	  
09:40 30.12.2019 	 2,49 	 2,66 	 5 	 7 	 5 	 1010 	 4,6 	  
09:30 30.12.2019 	 2,53 	 2,55 	 4 	 6 	 358 	 1010 	 4,7 	  
09:20 30.12.2019 	 2,58 	 2,63 	 5 	 7 	 354 	 1010 	 4,6 	  
09:10 30.12.2019 	 2,61 	 2,68 	 4 	 7 	 353 	 1009 	 4,7 	  
09:00 30.12.2019 	 2,65 	 2,81 	 5 	 8 	 6 	 1009 	 4,8 	  
08:50 30.12.2019 	 2,67 	 2,75 	 5 	 9 	 344 	 1009 	 4,6 	  
08:40 30.12.2019 	 2,69 	 2,77 	 6 	 9 	 331 	 1009 	 5,5 	  
08:30 30.12.2019 	 2,7 	 2,73 	 5 	 8 	 335 	 1008 	 5,3 	  
08:20 30.12.2019 	 2,7 	 2,79 	 6 	 10 	 347 	 1008 	 5,2 	  
08:10 30.12.2019 	 2,7 	 2,79 	 5 	 11 	 323 	 1008 	 5,7 	  
08:00 30.12.2019 	 2,69 	 2,75 	 5 	 11 	 340 	 1008 	 5,8 	  
07:50 30.12.2019 	 2,67 	 2,82 	 7 	 12 	 332 	 1007 	 5,8 	  
07:40 30.12.2019 	 2,65 	 2,75 	 5 	 11 	 339 	 1007 	 5,6 	  
07:30 30.12.2019 	 2,63 	 2,73 	 5 	 10 	 344 	 1007 	 5,6 	  
07:20 30.12.2019 	 2,58 	 2,66 	 4 	 8 	 340 	 1007 	 5,7 	  
07:10 30.12.2019 	 2,54 	 2,65 	 6 	 10 	 326 	 1007 	 5,7 	  
07:00 30.12.2019 	 2,5 	 2,58 	 6 	 10 	 326 	 1007 	 5,7 	  
06:50 30.12.2019 	 2,44 	 2,54 	 4 	 9 	 311 	 1006 	 5,8 	  
06:40 30.12.2019 	 2,39 	 2,52 	 7 	 11 	 326 	 1006 	 5,5 	  
06:30 30.12.2019 	 2,32 	 2,44 	 8 	 13 	 331 	 1006 	 5,8 	  
06:20 30.12.2019 	 2,25 	 2,31 	 7 	 13 	 331 	 1005 	 5,8 	  
06:10 30.12.2019 	 2,18 	 2,26 	 6 	 11 	 320 	 1005 	 5,7 	  
06:00 30.12.2019 	 2,1 	 2,22 	 8 	 14 	 328 	 1005 	 5,8 	  
05:50 30.12.2019 	 2,02 	 2,09 	 7 	 12 	 328 	 1005 	 5,8 	  
05:40 30.12.2019 	 1,94 	 1,96 	 6 	 11 	 331 	 1005 	 5,9 	  
05:30 30.12.2019 	 1,86 	 1,94 	 7 	 12 	 324 	 1004 	 6,1 	  
05:20 30.12.2019 	 1,76 	 1,87 	 6 	 12 	 328 	 1004 	 6 	  
05:10 30.12.2019 	 1,67 	 1,75 	 7 	 14 	 333 	 1004 	 6 	  
05:00 30.12.2019 	 1,59 	 1,71 	 6 	 12 	 334 	 1003 	 6,1 	  
04:50 30.12.2019 	 1,5 	 1,53 	 7 	 15 	 330 	 1003 	 6,1 	  
04:40 30.12.2019 	 1,41 	 1,42 	 7 	 12 	 325 	 1003 	 6,1 	  
04:30 30.12.2019 	 1,32 	 1,46 	 5 	 12 	 332 	 1003 	 6,2 	  
04:20 30.12.2019 	 1,23 	 1,32 	 7 	 12 	 333 	 1003 	 6,1 	  
04:10 30.12.2019 	 1,15 	 1,13 	 6 	 12 	 322 	 1002 	 6,1 	  
04:00 30.12.2019 	 1,07 	 1,25 	 7 	 13 	 328 	 1002 	 6 	  
03:50 30.12.2019 	 0,99 	 1,09 	 6 	 13 	 325 	 1002 	 6,1 	  
03:40 30.12.2019 	 0,92 	 1,01 	 7 	 14 	 330 	 1002 	 6,1 	  
03:30 30.12.2019 	 0,85 	 0,92 	 5 	 14 	 334 	 1002 	 6,1 	  
03:20 30.12.2019 	 0,79 	 0,95 	 7 	 13 	 325 	 1001 	 6,1 	  
03:10 30.12.2019 	 0,74 	 0,85 	 7 	 12 	 333 	 1001 	 6,1 	  
03:00 30.12.2019 	 0,69 	 0,83 	 7 	 14 	 338 	 1001 	 6,2 	  
02:50 30.12.2019 	 0,64 	 0,74 	 6 	 11 	 338 	 1001 	 6,1 	  
02:40 30.12.2019 	 0,61 	 0,66 	 5 	 12 	 335 	 1001 	 6 	  
02:30 30.12.2019 	 0,58 	 0,75 	 7 	 14 	 341 	 1000 	 6,1 	  
02:20 30.12.2019 	 0,56 	 0,62 	 5 	 12 	 350 	 1000 	 6,1 	  
02:10 30.12.2019 	 0,55 	 0,59 	 5 	 11 	 348 	 1000 	 6,1 	  
02:00 30.12.2019 	 0,54 	 0,64 	 4 	 15 	 139 	 1000 	 6,1 	  
01:50 30.12.2019 	 0,54 	 0,75 	 4 	 12 	 1 	 1000 	 6,1 	  
01:40 30.12.2019 	 0,55 	 0,57 	 5 	 12 	 5 	 999 	 6,1 	  
01:30 30.12.2019 	 0,57 	 0,71 	 5 	 16 	 27 	 999 	 6,1 	  
01:20 30.12.2019 	 0,6 	 0,73 	 4 	 13 	 355 	 999 	 6,1 	  
01:10 30.12.2019 	 0,63 	 0,69 	 5 	 13 	 107 	 999 	 6,1 	  
01:00 30.12.2019 	 0,67 	 0,76 	 4 	 11 	 95 	 999 	 6,1 	  
00:50 30.12.2019 	 0,72 	 0,89 	 3 	 12 	 130 	 999 	 6,2 	  
00:40 30.12.2019 	 0,78 	 0,85 	 4 	 12 	 360 	 998 	 6,3 	  
