 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
16:40 31.12.2019 	 1,18 	 1,2 	 10 	 13 	 235 	 988 	 6,7 	  
16:30 31.12.2019 	 1,17 	 1,19 	 9 	 13 	 235 	 988 	 6,6 	  
16:20 31.12.2019 	 1,17 	 1,22 	 10 	 15 	 235 	 988 	 6,6 	  
16:10 31.12.2019 	 1,18 	 1,25 	 9 	 13 	 234 	 988 	 6,6 	  
16:00 31.12.2019 	 1,2 	 1,31 	 10 	 13 	 236 	 988 	 6,5 	  
15:50 31.12.2019 	 1,23 	 1,32 	 8 	 11 	 233 	 988 	 6,6 	  
15:40 31.12.2019 	 1,26 	 1,35 	 10 	 15 	 233 	 988 	 6,7 	  
15:30 31.12.2019 	 1,31 	 1,39 	 9 	 14 	 235 	 988 	 6,7 	  
15:20 31.12.2019 	 1,37 	 1,49 	 8 	 11 	 235 	 988 	 6,6 	  
15:10 31.12.2019 	 1,43 	 1,54 	 7 	 12 	 234 	 988 	 6,6 	  
15:00 31.12.2019 	 1,5 	 1,6 	 7 	 13 	 238 	 988 	 6,4 	  
14:50 31.12.2019 	 1,58 	 1,66 	 7 	 11 	 234 	 988 	 6,5 	  
14:40 31.12.2019 	 1,67 	 1,79 	 7 	 12 	 250 	 989 	 6,5 	  
14:30 31.12.2019 	 1,76 	 1,88 	 5 	 10 	 247 	 989 	 6,5 	  
14:20 31.12.2019 	 1,86 	 1,93 	 5 	 11 	 239 	 989 	 6,7 	  
14:10 31.12.2019 	 1,96 	 2,05 	 5 	 8 	 238 	 989 	 6,1 	  
14:00 31.12.2019 	 2,06 	 2,18 	 5 	 7 	 225 	 989 	 6 	  
13:50 31.12.2019 	 2,17 	 2,25 	 3 	 6 	 220 	 989 	 6,1 	  
13:40 31.12.2019 	 2,28 	 2,41 	 2 	 3 	 232 	 989 	 5,9 	  
13:30 31.12.2019 	 2,39 	 2,52 	 1 	 3 	 239 	 989 	 5,8 	  
13:20 31.12.2019 	 2,5 	 2,57 	 2 	 5 	 228 	 989 	 5,9 	  
13:10 31.12.2019 	 2,61 	 2,73 	 4 	 7 	 250 	 990 	 6 	  
13:00 31.12.2019 	 2,73 	 2,84 	 3 	 5 	 241 	 989 	 5,4 	  
12:50 31.12.2019 	 2,83 	 2,92 	 4 	 6 	 245 	 989 	 5,4 	  
12:40 31.12.2019 	 2,94 	 3,02 	 2 	 5 	 271 	 989 	 5,1 	  
12:30 31.12.2019 	 3,04 	 3,13 	 0 	 1 	 313 	 989 	 4,6 	  
12:20 31.12.2019 	 3,14 	 3,22 	 1 	 1 	 257 	 990 	 4,3 	  
12:10 31.12.2019 	 3,24 	 3,33 	 1 	 2 	 306 	 990 	 4,4 	  
12:00 31.12.2019 	 3,33 	 3,38 	 0 	 1 	 337 	 990 	 4,3 	  
11:50 31.12.2019 	 3,41 	 3,48 	 0 	 1 	 230 	 990 	 4 	  
11:40 31.12.2019 	 3,49 	 3,56 	 1 	 1 	 236 	 990 	 4,2 	  
11:30 31.12.2019 	 3,56 	 3,62 	 1 	 2 	 173 	 990 	 4,2 	  
11:20 31.12.2019 	 3,62 	 3,73 	 0 	 1 	 122 	 990 	 4,3 	  
11:10 31.12.2019 	 3,68 	 3,76 	 1 	 1 	 158 	 990 	 4,4 	  
11:00 31.12.2019 	 3,72 	 3,82 	 1 	 2 	 249 	 990 	 4,3 	  
10:50 31.12.2019 	 3,76 	 3,84 	 1 	 1 	 233 	 990 	 4 	  
10:40 31.12.2019 	 3,8 	 3,86 	 1 	 2 	 198 	 991 	 4 	  
10:30 31.12.2019 	 3,82 	 3,89 	 1 	 2 	 211 	 991 	 4 	  
10:20 31.12.2019 	 3,83 	 3,9 	 1 	 2 	 216 	 991 	 3,9 	  
10:10 31.12.2019 	 3,84 	 3,91 	 1 	 1 	 254 	 991 	 3,8 	  
10:00 31.12.2019 	 3,83 	 3,91 	 1 	 1 	 208 	 992 	 3,8 	  
09:50 31.12.2019 	 3,82 	 3,88 	 1 	 2 	 170 	 992 	 3,9 	  
09:40 31.12.2019 	 3,8 	 3,89 	 1 	 2 	 197 	 992 	 4,1 	  
09:30 31.12.2019 	 3,77 	 3,87 	 1 	 2 	 255 	 993 	 4,3 	  
09:20 31.12.2019 	 3,74 	 3,83 	 1 	 1 	 221 	 993 	 4,4 	  
09:10 31.12.2019 	 3,69 	 3,8 	 2 	 4 	 60 	 993 	 4,3 	  
09:00 31.12.2019 	 3,64 	 3,75 	 3 	 5 	 111 	 993 	 4,2 	  
08:50 31.12.2019 	 3,58 	 3,69 	 3 	 5 	 123 	 993 	 4,3 	  
08:40 31.12.2019 	 3,51 	 3,63 	 2 	 4 	 97 	 994 	 5,1 	  
08:30 31.12.2019 	 3,44 	 3,53 	 3 	 4 	 224 	 994 	 5,2 	  
08:20 31.12.2019 	 3,36 	 3,45 	 4 	 6 	 283 	 994 	 5,6 	  
08:10 31.12.2019 	 3,27 	 3,36 	 2 	 4 	 305 	 994 	 5,2 	  
08:00 31.12.2019 	 3,18 	 3,3 	 2 	 4 	 259 	 995 	 5,5 	  
07:50 31.12.2019 	 3,08 	 3,17 	 2 	 4 	 220 	 995 	 5,5 	  
07:40 31.12.2019 	 2,98 	 3,07 	 0 	 1 	 17 	 995 	 5,6 	  
07:30 31.12.2019 	 2,88 	 2,97 	 0 	 1 	 173 	 995 	 5,8 	  
07:20 31.12.2019 	 2,77 	 2,87 	 1 	 3 	 274 	 995 	 6 	  
07:10 31.12.2019 	 2,67 	 2,75 	 1 	 3 	 272 	 996 	 6 	  
07:00 31.12.2019 	 2,55 	 2,64 	 1 	 3 	 266 	 996 	 6,2 	  
06:50 31.12.2019 	 2,44 	 2,52 	 3 	 6 	 249 	 996 	 6,4 	  
06:40 31.12.2019 	 2,33 	 2,4 	 4 	 7 	 242 	 996 	 6,6 	  
06:30 31.12.2019 	 2,22 	 2,27 	 5 	 9 	 245 	 996 	 6,8 	  
06:20 31.12.2019 	 2,11 	 2,13 	 5 	 9 	 220 	 996 	 6,8 	  
06:10 31.12.2019 	 2 	 2,02 	 3 	 7 	 170 	 997 	 5,9 	  
06:00 31.12.2019 	 1,9 	 1,89 	 5 	 8 	 178 	 997 	 6,1 	  
05:50 31.12.2019 	 1,8 	 1,8 	 4 	 7 	 177 	 998 	 5,7 	  
05:40 31.12.2019 	 1,7 	 1,69 	 5 	 11 	 175 	 998 	 5,5 	  
05:30 31.12.2019 	 1,61 	 1,57 	 7 	 11 	 167 	 998 	 5,5 	  
05:20 31.12.2019 	 1,52 	 1,49 	 9 	 12 	 169 	 999 	 5,5 	  
05:10 31.12.2019 	 1,44 	 1,41 	 10 	 15 	 172 	 999 	 5,5 	  
05:00 31.12.2019 	 1,37 	 1,32 	 11 	 16 	 178 	 999 	 5,5 	  
04:50 31.12.2019 	 1,31 	 1,23 	 12 	 17 	 179 	 999 	 5,2 	  
04:40 31.12.2019 	 1,25 	 1,18 	 15 	 20 	 184 	 1000 	 5,2 	  
04:30 31.12.2019 	 1,21 	 1,14 	 14 	 21 	 180 	 1000 	 5,2 	  
04:20 31.12.2019 	 1,17 	 1,08 	 14 	 20 	 176 	 1000 	 5,1 	  
04:10 31.12.2019 	 1,14 	 1,07 	 14 	 19 	 176 	 1000 	 4,7 	  
04:00 31.12.2019 	 1,12 	 1,04 	 13 	 18 	 179 	 1001 	 4,8 	  
03:50 31.12.2019 	 1,11 	 1,03 	 12 	 18 	 180 	 1001 	 4,6 	  
03:40 31.12.2019 	 1,12 	 1,02 	 9 	 17 	 179 	 1002 	 4,5 	  
03:30 31.12.2019 	 1,13 	 1,02 	 6 	 12 	 181 	 1003 	 4,4 	  
03:20 31.12.2019 	 1,15 	 1,02 	 7 	 12 	 179 	 1003 	 4,4 	  
03:10 31.12.2019 	 1,18 	 1,06 	 7 	 11 	 179 	 1004 	 4,5 	  
03:00 31.12.2019 	 1,22 	 1,08 	 4 	 10 	 161 	 1004 	 4,6 	  
02:50 31.12.2019 	 1,28 	 1,17 	 3 	 9 	 184 	 1004 	 4,7 	  
02:40 31.12.2019 	 1,33 	 1,21 	 3 	 5 	 163 	 1005 	 4,8 	  
02:30 31.12.2019 	 1,4 	 1,31 	 4 	 7 	 176 	 1005 	 4,8 	  
02:20 31.12.2019 	 1,48 	 1,36 	 4 	 6 	 183 	 1005 	 4,9 	  
02:10 31.12.2019 	 1,56 	 1,42 	 5 	 8 	 191 	 1006 	 4,9 	  
02:00 31.12.2019 	 1,65 	 1,47 	 4 	 8 	 195 	 1006 	 4,9 	  
01:50 31.12.2019 	 1,74 	 1,58 	 6 	 9 	 185 	 1006 	 4,8 	  
01:40 31.12.2019 	 1,84 	 1,7 	 2 	 4 	 80 	 1006 	 4,9 	  
01:30 31.12.2019 	 1,94 	 1,81 	 3 	 8 	 194 	 1007 	 4,8 	  
01:20 31.12.2019 	 2,04 	 1,92 	 4 	 7 	 235 	 1007 	 4,7 	  
01:10 31.12.2019 	 2,15 	 2 	 4 	 7 	 234 	 1007 	 4,7 	  
01:00 31.12.2019 	 2,26 	 2,12 	 5 	 9 	 233 	 1007 	 4,6 	  
00:50 31.12.2019 	 2,37 	 2,22 	 6 	 10 	 233 	 1008 	 4,6 	  
00:40 31.12.2019 	 2,48 	 2,32 	 4 	 6 	 217 	 1008 	 5,1 	  
00:30 31.12.2019 	 2,58 	 2,43 	 4 	 9 	 218 	 1008 	 5,1 	  
00:20 31.12.2019 	 2,69 	 2,53 	 5 	 9 	 224 	 1008 	 4,9 	  
00:10 31.12.2019 	 2,79 	 2,66 	 6 	 10 	 226 	 1008 	 4,7 	  
00:00 31.12.2019 	 2,89 	 2,73 	 6 	 10 	 219 	 1008 	 4,9 	  
23:50 30.12.2019 	 2,99 	 2,82 	 5 	 9 	 211 	 1008 	 5,2 	  
23:40 30.12.2019 	 3,08 	 2,9 	 6 	 11 	 221 	 1008 	 5,2 	  
23:30 30.12.2019 	 3,16 	 3,01 	 8 	 13 	 225 	 1008 	 5,1 	  
23:20 30.12.2019 	 3,24 	 3,08 	 8 	 12 	 225 	 1008 	 4,9 	  
23:10 30.12.2019 	 3,31 	 3,15 	 9 	 13 	 231 	 1009 	 4,8 	  
23:00 30.12.2019 	 3,38 	 3,19 	 7 	 12 	 226 	 1009 	 4,4 	  
22:50 30.12.2019 	 3,43 	 3,25 	 9 	 15 	 225 	 1009 	 4,2 	  
22:40 30.12.2019 	 3,48 	 3,31 	 7 	 12 	 225 	 1009 	 5 	  
22:30 30.12.2019 	 3,53 	 3,33 	 7 	 12 	 220 	 1009 	 4,9 	  
22:20 30.12.2019 	 3,56 	 3,39 	 5 	 9 	 214 	 1009 	 4,5 	  
22:10 30.12.2019 	 3,58 	 3,42 	 5 	 10 	 212 	 1009 	 4,2 	  
22:00 30.12.2019 	 3,6 	 3,41 	 4 	 7 	 206 	 1009 	 4,5 	  
21:50 30.12.2019 	 3,61 	 3,44 	 6 	 9 	 203 	 1010 	 4,3 	  
21:40 30.12.2019 	 3,6 	 3,48 	 5 	 10 	 183 	 1010 	 4,4 	  
21:30 30.12.2019 	 3,59 	 3,43 	 4 	 10 	 212 	 1010 	 4,6 	  
21:20 30.12.2019 	 3,57 	 3,4 	 5 	 10 	 214 	 1010 	 4,5 	  
21:10 30.12.2019 	 3,54 	 3,39 	 4 	 7 	 203 	 1010 	 4,9 	  
21:00 30.12.2019 	 3,51 	 3,35 	 4 	 7 	 209 	 1010 	 4,8 	  
20:50 30.12.2019 	 3,46 	 3,3 	 5 	 9 	 210 	 1010 	 4,7 	  
20:40 30.12.2019 	 3,41 	 3,26 	 4 	 8 	 235 	 1010 	 4,8 	  
20:30 30.12.2019 	 3,35 	 3,25 	 4 	 8 	 245 	 1010 	 4,5 	  
20:20 30.12.2019 	 3,28 	 3,15 	 5 	 9 	 221 	 1010 	 4,6 	  
20:10 30.12.2019 	 3,2 	 3,07 	 7 	 12 	 252 	 1010 	 4,4 	  
20:00 30.12.2019 	 3,12 	 2,98 	 6 	 9 	 237 	 1010 	 4,6 	  
19:50 30.12.2019 	 3,03 	 2,91 	 4 	 10 	 236 	 1009 	 4,8 	  
19:40 30.12.2019 	 2,94 	 2,81 	 3 	 9 	 245 	 1009 	 4,6 	  
19:30 30.12.2019 	 2,84 	 2,72 	 4 	 10 	 239 	 1009 	 4,8 	  
19:20 30.12.2019 	 2,74 	 2,58 	 7 	 12 	 240 	 1009 	 4,6 	  
19:10 30.12.2019 	 2,63 	 2,49 	 6 	 11 	 240 	 1009 	 4,4 	  
19:00 30.12.2019 	 2,53 	 2,39 	 5 	 10 	 251 	 1009 	 4,7 	  
18:50 30.12.2019 	 2,41 	 2,27 	 4 	 8 	 253 	 1009 	 4,9 	  
18:40 30.12.2019 	 2,3 	 2,13 	 5 	 9 	 243 	 1009 	 4,8 	  
18:30 30.12.2019 	 2,19 	 2,03 	 6 	 15 	 250 	 1009 	 4,8 	  
18:20 30.12.2019 	 2,08 	 1,94 	 7 	 15 	 251 	 1009 	 4,4 	  
18:10 30.12.2019 	 1,97 	 1,84 	 6 	 13 	 253 	 1009 	 4,5 	  
18:00 30.12.2019 	 1,86 	 1,67 	 6 	 10 	 241 	 1009 	 4,5 	  
17:50 30.12.2019 	 1,75 	 1,58 	 5 	 11 	 228 	 1009 	 4,4 	  
17:40 30.12.2019 	 1,65 	 1,48 	 5 	 8 	 196 	 1009 	 4,4 	  
17:30 30.12.2019 	 1,55 	 1,39 	 6 	 8 	 180 	 1009 	 4,3 	  
17:20 30.12.2019 	 1,46 	 1,3 	 6 	 8 	 185 	 1009 	 4,4 	  
17:10 30.12.2019 	 1,38 	 1,23 	 8 	 11 	 187 	 1008 	 4,4 	  
17:00 30.12.2019 	 1,3 	 1,15 	 7 	 11 	 190 	 1008 	 4,4 	  
16:50 30.12.2019 	 1,23 	 1,11 	 8 	 11 	 186 	 1008 	 4 	  
16:40 30.12.2019 	 1,17 	 1,04 	 8 	 12 	 179 	 1008 	 4 	  
16:30 30.12.2019 	 1,12 	 0,94 	 9 	 11 	 180 	 1009 	 4 	  
16:20 30.12.2019 	 1,07 	 0,97 	 8 	 11 	 187 	 1009 	 3,8 	  
16:10 30.12.2019 	 1,04 	 0,93 	 7 	 12 	 186 	 1009 	 3,8 	  
16:00 30.12.2019 	 1,02 	 0,91 	 4 	 9 	 193 	 1009 	 3,8 	  
15:50 30.12.2019 	 1,01 	 0,91 	 5 	 9 	 190 	 1009 	 3,8 	  
15:40 30.12.2019 	 1 	 0,9 	 6 	 8 	 191 	 1009 	 3,7 	  
15:30 30.12.2019 	 1,02 	 0,95 	 5 	 8 	 206 	 1009 	 3,6 	  
15:20 30.12.2019 	 1,04 	 0,96 	 5 	 7 	 208 	 1009 	 3,6 	  
15:10 30.12.2019 	 1,07 	 0,97 	 5 	 7 	 195 	 1009 	 3,5 	  
15:00 30.12.2019 	 1,11 	 1,01 	 4 	 7 	 209 	 1009 	 3,7 	  
14:50 30.12.2019 	 1,17 	 1,09 	 5 	 7 	 193 	 1009 	 3,9 	  
14:40 30.12.2019 	 1,23 	 1,17 	 4 	 5 	 196 	 1009 	 3,7 	  
14:30 30.12.2019 	 1,3 	 1,25 	 4 	 6 	 201 	 1010 	 3,6 	  
14:20 30.12.2019 	 1,38 	 1,33 	 5 	 8 	 211 	 1009 	 3,7 	  
14:10 30.12.2019 	 1,47 	 1,4 	 5 	 8 	 209 	 1010 	 3,6 	  
14:00 30.12.2019 	 1,57 	 1,5 	 6 	 9 	 228 	 1010 	 3,5 	  
13:50 30.12.2019 	 1,68 	 1,62 	 6 	 10 	 237 	 1010 	 3,3 	  
13:40 30.12.2019 	 1,79 	 1,71 	 5 	 8 	 236 	 1010 	 3,1 	  
13:30 30.12.2019 	 1,9 	 1,83 	 5 	 9 	 234 	 1010 	 3 	  
13:20 30.12.2019 	 2,02 	 1,97 	 5 	 8 	 226 	 1010 	 2,8 	  
13:10 30.12.2019 	 2,15 	 2,09 	 3 	 6 	 236 	 1010 	 2 	  
13:00 30.12.2019 	 2,27 	 2,21 	 1 	 3 	 328 	 1010 	 1,2 	  
12:50 30.12.2019 	 2,4 	 2,31 	 2 	 3 	 177 	 1010 	 0,4 	  
12:40 30.12.2019 	 2,53 	 2,43 	 1 	 2 	 119 	 1009 	 0,7 	  
12:30 30.12.2019 	 2,66 	 2,54 	 0 	 1 	 91 	 1009 	 0,7 	  
12:20 30.12.2019 	 2,78 	 2,71 	 2 	 3 	 254 	 1009 	 0,2 	  
12:10 30.12.2019 	 2,91 	 2,84 	 1 	 2 	 225 	 1009 	 -0,3 	  
12:00 30.12.2019 	 3,03 	 2,94 	 1 	 2 	 206 	 1009 	 -0 	  
11:50 30.12.2019 	 3,14 	 3,05 	 1 	 1 	 203 	 1009 	 0,3 	  
11:40 30.12.2019 	 3,25 	 3,17 	 1 	 2 	 158 	 1009 	 0,3 	  
11:30 30.12.2019 	 3,36 	 3,24 	 1 	 2 	 232 	 1009 	 -0 	  
11:20 30.12.2019 	 3,46 	 3,37 	 1 	 2 	 175 	 1009 	 0,4 	  
11:10 30.12.2019 	 3,55 	 3,49 	 0 	 1 	 13 	 1009 	 0,5 	  
11:00 30.12.2019 	 3,64 	 3,56 	 1 	 1 	 189 	 1009 	 0,8 	  
10:50 30.12.2019 	 3,72 	 3,64 	 2 	 3 	 168 	 1008 	 1,2 	  
10:40 30.12.2019 	 3,79 	 3,73 	 2 	 3 	 214 	 1008 	 0,4 	  
10:30 30.12.2019 	 3,85 	 3,81 	 2 	 3 	 233 	 1008 	 0,5 	  
10:20 30.12.2019 	 3,9 	 3,85 	 3 	 4 	 214 	 1008 	 1,5 	  
10:10 30.12.2019 	 3,95 	 3,9 	 3 	 5 	 192 	 1008 	 1,9 	  
10:00 30.12.2019 	 3,98 	 3,9 	 4 	 5 	 209 	 1008 	 1,6 	  
09:50 30.12.2019 	 4,01 	 3,97 	 3 	 5 	 220 	 1008 	 0,9 	  
09:40 30.12.2019 	 4,02 	 3,99 	 2 	 3 	 226 	 1008 	 0,5 	  
09:30 30.12.2019 	 4,03 	 4 	 2 	 3 	 210 	 1008 	 0,7 	  
09:20 30.12.2019 	 4,03 	 3,99 	 2 	 3 	 200 	 1008 	 0,8 	  
09:10 30.12.2019 	 4,01 	 4,02 	 2 	 3 	 229 	 1008 	 1,6 	  
09:00 30.12.2019 	 3,99 	 3,98 	 1 	 4 	 191 	 1007 	 1,6 	  
08:50 30.12.2019 	 3,96 	 3,94 	 1 	 3 	 213 	 1007 	 1,6 	  
08:40 30.12.2019 	 3,92 	 3,91 	 2 	 4 	 237 	 1007 	 1,7 	  
08:30 30.12.2019 	 3,86 	 3,85 	 2 	 4 	 225 	 1007 	 1,5 	  
08:20 30.12.2019 	 3,8 	 3,81 	 2 	 3 	 230 	 1007 	 1,5 	  
08:10 30.12.2019 	 3,74 	 3,74 	 3 	 4 	 241 	 1007 	 1,1 	  
08:00 30.12.2019 	 3,66 	 3,65 	 3 	 4 	 234 	 1007 	 0,8 	  
07:50 30.12.2019 	 3,58 	 3,6 	 4 	 5 	 234 	 1007 	 0,8 	  
07:40 30.12.2019 	 3,48 	 3,54 	 3 	 4 	 236 	 1006 	 0,7 	  
07:30 30.12.2019 	 3,39 	 3,43 	 3 	 4 	 233 	 1006 	 1 	  
07:20 30.12.2019 	 3,28 	 3,32 	 2 	 4 	 237 	 1006 	 1,4 	  
07:10 30.12.2019 	 3,17 	 3,19 	 3 	 4 	 238 	 1006 	 1,6 	  
07:00 30.12.2019 	 3,06 	 3,08 	 2 	 3 	 255 	 1006 	 1,5 	  
06:50 30.12.2019 	 2,94 	 2,97 	 1 	 4 	 253 	 1006 	 1,6 	  
06:40 30.12.2019 	 2,82 	 2,82 	 2 	 3 	 265 	 1006 	 1,7 	  
06:30 30.12.2019 	 2,69 	 2,71 	 3 	 5 	 280 	 1005 	 1,8 	  
06:20 30.12.2019 	 2,56 	 2,58 	 3 	 5 	 264 	 1005 	 1,9 	  
06:10 30.12.2019 	 2,44 	 2,44 	 3 	 5 	 255 	 1005 	 1,9 	  
06:00 30.12.2019 	 2,31 	 2,29 	 3 	 4 	 280 	 1005 	 1,8 	  
05:50 30.12.2019 	 2,18 	 2,18 	 3 	 4 	 263 	 1005 	 2 	  
05:40 30.12.2019 	 2,06 	 2,05 	 2 	 4 	 259 	 1005 	 1,9 	  
05:30 30.12.2019 	 1,93 	 1,91 	 2 	 4 	 253 	 1004 	 2 	  
05:20 30.12.2019 	 1,81 	 1,77 	 3 	 4 	 278 	 1004 	 2 	  
05:10 30.12.2019 	 1,7 	 1,64 	 2 	 3 	 272 	 1004 	 2 	  
05:00 30.12.2019 	 1,59 	 1,56 	 2 	 3 	 276 	 1004 	 2 	  
04:50 30.12.2019 	 1,49 	 1,45 	 2 	 4 	 287 	 1004 	 2,1 	  
04:40 30.12.2019 	 1,39 	 1,38 	 2 	 4 	 263 	 1003 	 2 	  
04:30 30.12.2019 	 1,3 	 1,25 	 2 	 4 	 267 	 1003 	 2,1 	  
04:20 30.12.2019 	 1,22 	 1,16 	 3 	 4 	 275 	 1003 	 2,1 	  
04:10 30.12.2019 	 1,15 	 1,11 	 3 	 5 	 285 	 1003 	 2,1 	  
04:00 30.12.2019 	 1,09 	 1,06 	 4 	 5 	 288 	 1003 	 2,1 	  
03:50 30.12.2019 	 1,04 	 0,99 	 3 	 5 	 293 	 1003 	 2,2 	  
03:40 30.12.2019 	 1 	 0,92 	 3 	 5 	 309 	 1002 	 2,5 	  
03:30 30.12.2019 	 0,97 	 0,91 	 3 	 5 	 305 	 1002 	 2,4 	  
03:20 30.12.2019 	 0,95 	 0,93 	 2 	 3 	 314 	 1002 	 2,5 	  
03:10 30.12.2019 	 0,94 	 0,91 	 2 	 3 	 328 	 1002 	 2,5 	  
03:00 30.12.2019 	 0,94 	 0,91 	 2 	 3 	 351 	 1001 	 2,5 	  
02:50 30.12.2019 	 0,96 	 0,93 	 3 	 4 	 345 	 1001 	 2,5 	  
02:40 30.12.2019 	 0,99 	 0,96 	 3 	 4 	 339 	 1001 	 2,6 	  
02:30 30.12.2019 	 1,02 	 1,01 	 3 	 4 	 346 	 1001 	 2,6 	  
02:20 30.12.2019 	 1,07 	 1,05 	 4 	 5 	 340 	 1001 	 2,6 	  
02:10 30.12.2019 	 1,13 	 1,12 	 3 	 4 	 341 	 1001 	 2,7 	  
02:00 30.12.2019 	 1,2 	 1,14 	 3 	 4 	 339 	 1001 	 2,7 	  
01:50 30.12.2019 	 1,28 	 1,23 	 3 	 4 	 338 	 1001 	 2,7 	  
01:40 30.12.2019 	 1,36 	 1,31 	 3 	 5 	 333 	 1001 	 2,7 	  
01:30 30.12.2019 	 1,46 	 1,4 	 4 	 5 	 327 	 1001 	 2,7 	  
01:20 30.12.2019 	 1,56 	 1,52 	 3 	 5 	 302 	 1001 	 2,3 	  
01:10 30.12.2019 	 1,67 	 1,61 	 3 	 5 	 304 	 1000 	 2,4 	  
01:00 30.12.2019 	 1,78 	 1,73 	 3 	 4 	 298 	 1000 	 2,4 	  
00:50 30.12.2019 	 1,89 	 1,87 	 3 	 4 	 295 	 1000 	 2,6 	  
00:40 30.12.2019 	 2,01 	 1,97 	 3 	 3 	 301 	 1000 	 2,6 	  
