 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
20:50 31.12.2019 	 2,58 	 3,4 	 3,43 	 7 	 10 	 200 	 991 	 6,7 	  
20:40 31.12.2019 	 2,54 	 3,3 	 3,33 	 8 	 12 	 197 	 991 	 6,8 	  
20:30 31.12.2019 	 2,51 	 3,24 	 3,26 	 8 	 11 	 194 	 991 	 6,8 	  
20:20 31.12.2019 	 2,47 	 3,21 	 3,23 	 8 	 11 	 202 	 991 	 6,7 	  
20:10 31.12.2019 	 2,43 	 3,15 	 3,18 	 9 	 13 	 195 	 991 	 6,7 	  
20:00 31.12.2019 	 2,38 	 3,12 	 3,15 	 10 	 13 	 184 	 991 	 6,9 	  
19:50 31.12.2019 	 2,33 	 3,06 	 3,08 	 10 	 12 	 181 	 991 	 6,7 	  
19:40 31.12.2019 	 2,26 	 2,97 	 3 	 9 	 11 	 181 	 991 	 6,7 	  
19:30 31.12.2019 	 2,21 	 2,92 	 2,94 	 9 	 11 	 184 	 992 	 6,8 	  
19:20 31.12.2019 	 2,14 	 2,83 	 2,86 	 9 	 11 	 184 	 992 	 6,8 	  
19:10 31.12.2019 	 2,07 	 2,82 	 2,84 	 9 	 11 	 183 	 992 	 6,8 	  
19:00 31.12.2019 	 2 	 2,6 	 2,62 	 8 	 11 	 184 	 992 	 6,7 	  
18:50 31.12.2019 	 1,93 	 2,69 	 2,72 	 7 	 10 	 187 	 992 	 6,6 	  
18:40 31.12.2019 	 1,85 	 2,57 	 2,6 	 7 	 10 	 187 	 992 	 6,7 	  
18:30 31.12.2019 	 1,78 	 2,41 	 2,43 	 8 	 10 	 186 	 992 	 6,7 	  
18:20 31.12.2019 	 1,7 	 2,46 	 2,48 	 8 	 9 	 185 	 993 	 6,7 	  
18:10 31.12.2019 	 1,62 	 2,25 	 2,27 	 7 	 10 	 186 	 993 	 6,7 	  
18:00 31.12.2019 	 1,54 	 2,27 	 2,29 	 7 	 9 	 189 	 993 	 6,7 	  
17:50 31.12.2019 	 1,46 	 2,25 	 2,27 	 6 	 8 	 189 	 993 	 6,6 	  
17:40 31.12.2019 	 1,39 	 2,09 	 2,11 	 5 	 8 	 195 	 993 	 6,5 	  
17:30 31.12.2019 	 1,32 	 2,01 	 2,03 	 5 	 7 	 199 	 993 	 6,5 	  
17:20 31.12.2019 	 1,25 	 1,97 	 2 	 5 	 7 	 198 	 993 	 6,5 	  
17:10 31.12.2019 	 1,18 	 1,83 	 1,85 	 4 	 7 	 200 	 993 	 6,3 	  
17:00 31.12.2019 	 1,12 	 1,91 	 1,93 	 4 	 6 	 201 	 993 	 6,3 	  
16:50 31.12.2019 	 1,06 	 1,75 	 1,77 	 4 	 6 	 205 	 993 	 6,2 	  
16:40 31.12.2019 	 1,01 	 1,66 	 1,68 	 5 	 6 	 207 	 993 	 6,2 	  
16:30 31.12.2019 	 0,95 	 1,67 	 1,69 	 4 	 5 	 213 	 993 	 6,1 	  
16:20 31.12.2019 	 0,91 	 1,66 	 1,68 	 3 	 5 	 219 	 993 	 6 	  
16:10 31.12.2019 	 0,88 	 1,66 	 1,68 	 3 	 4 	 222 	 994 	 5,9 	  
16:00 31.12.2019 	 0,85 	 1,58 	 1,6 	 2 	 4 	 235 	 994 	 5,7 	  
15:50 31.12.2019 	 0,82 	 1,58 	 1,6 	 2 	 3 	 235 	 993 	 5,3 	  
15:40 31.12.2019 	 0,81 	 1,54 	 1,56 	 2 	 3 	 230 	 993 	 5,1 	  
15:30 31.12.2019 	 0,8 	 1,52 	 1,54 	 2 	 4 	 242 	 993 	 5,3 	  
15:20 31.12.2019 	 0,8 	 1,61 	 1,63 	 3 	 5 	 253 	 993 	 5,4 	  
15:10 31.12.2019 	 0,81 	 1,48 	 1,5 	 3 	 5 	 256 	 993 	 5,4 	  
15:00 31.12.2019 	 0,82 	 1,69 	 1,71 	 4 	 5 	 258 	 993 	 5,5 	  
14:50 31.12.2019 	 0,85 	 1,6 	 1,63 	 5 	 7 	 253 	 993 	 5,7 	  
14:40 31.12.2019 	 0,87 	 1,61 	 1,63 	 4 	 6 	 243 	 993 	 5,7 	  
14:30 31.12.2019 	 0,91 	 1,73 	 1,75 	 3 	 7 	 243 	 993 	 5,8 	  
14:20 31.12.2019 	 0,96 	 1,66 	 1,68 	 3 	 5 	 235 	 993 	 5,8 	  
14:10 31.12.2019 	 1,01 	 1,82 	 1,84 	 3 	 5 	 233 	 993 	 5,8 	  
14:00 31.12.2019 	 1,06 	 1,8 	 1,82 	 3 	 4 	 234 	 993 	 5,7 	  
13:50 31.12.2019 	 1,13 	 1,94 	 1,96 	 2 	 4 	 232 	 993 	 5,6 	  
13:40 31.12.2019 	 1,2 	 1,94 	 1,97 	 2 	 4 	 235 	 993 	 5,6 	  
13:30 31.12.2019 	 1,27 	 2,05 	 2,07 	 2 	 4 	 237 	 993 	 5,6 	  
13:20 31.12.2019 	 1,35 	 2,09 	 2,11 	 3 	 4 	 222 	 993 	 5,6 	  
13:10 31.12.2019 	 1,43 	 2,21 	 2,23 	 2 	 3 	 211 	 992 	 5,6 	  
13:00 31.12.2019 	 1,51 	 2,3 	 2,32 	 2 	 3 	 206 	 992 	 5,6 	  
12:50 31.12.2019 	 1,6 	 2,44 	 2,46 	 2 	 3 	 203 	 993 	 5,6 	  
12:40 31.12.2019 	 1,69 	 2,49 	 2,52 	 1 	 2 	 203 	 992 	 5,6 	  
12:30 31.12.2019 	 1,78 	 2,57 	 2,59 	 2 	 3 	 250 	 992 	 5,5 	  
12:20 31.12.2019 	 1,86 	 2,64 	 2,66 	 2 	 4 	 262 	 992 	 5,5 	  
12:10 31.12.2019 	 1,95 	 2,79 	 2,82 	 2 	 5 	 253 	 993 	 5,7 	  
12:00 31.12.2019 	 2,05 	 2,79 	 2,82 	 1 	 2 	 231 	 993 	 5,9 	  
11:50 31.12.2019 	 2,13 	 2,89 	 2,91 	 1 	 2 	 223 	 993 	 5,9 	  
11:40 31.12.2019 	 2,22 	 3,01 	 3,04 	 1 	 2 	 219 	 993 	 5,9 	  
11:30 31.12.2019 	 2,3 	 3,04 	 3,06 	 1 	 2 	 234 	 993 	 6 	  
11:20 31.12.2019 	 2,38 	 3,19 	 3,22 	 2 	 4 	 240 	 993 	 6,1 	  
11:10 31.12.2019 	 2,46 	 3,21 	 3,23 	 3 	 4 	 259 	 993 	 6,2 	  
11:00 31.12.2019 	 2,53 	 3,25 	 3,28 	 4 	 6 	 166 	 994 	 6,6 	  
10:50 31.12.2019 	 2,59 	 3,38 	 3,41 	 3 	 3 	 164 	 994 	 6,1 	  
10:40 31.12.2019 	 2,66 	 3,43 	 3,45 	 3 	 5 	 201 	 994 	 6,3 	  
10:30 31.12.2019 	 2,71 	 3,47 	 3,49 	 5 	 6 	 209 	 994 	 6,4 	  
10:20 31.12.2019 	 2,76 	 3,49 	 3,52 	 5 	 7 	 206 	 994 	 6,5 	  
10:10 31.12.2019 	 2,81 	 3,64 	 3,67 	 5 	 8 	 216 	 994 	 6,6 	  
10:00 31.12.2019 	 2,84 	 3,55 	 3,58 	 6 	 10 	 188 	 995 	 6,7 	  
09:50 31.12.2019 	 2,87 	 3,58 	 3,61 	 5 	 7 	 168 	 995 	 6,7 	  
09:40 31.12.2019 	 2,9 	 3,65 	 3,67 	 6 	 8 	 188 	 995 	 6,7 	  
09:30 31.12.2019 	 2,92 	 3,61 	 3,64 	 7 	 9 	 188 	 996 	 6,7 	  
09:20 31.12.2019 	 2,93 	 3,63 	 3,66 	 7 	 10 	 190 	 996 	 6,8 	  
09:10 31.12.2019 	 2,94 	 3,65 	 3,68 	 9 	 11 	 187 	 996 	 6,8 	  
09:00 31.12.2019 	 2,93 	 3,65 	 3,68 	 8 	 11 	 175 	 997 	 6,8 	  
08:50 31.12.2019 	 2,92 	 3,61 	 3,64 	 8 	 11 	 170 	 997 	 6,7 	  
08:40 31.12.2019 	 2,9 	 3,59 	 3,62 	 8 	 10 	 165 	 997 	 6,7 	  
08:30 31.12.2019 	 2,88 	 3,54 	 3,57 	 8 	 10 	 162 	 997 	 6,7 	  
08:20 31.12.2019 	 2,86 	 3,55 	 3,58 	 6 	 8 	 162 	 998 	 6,4 	  
08:10 31.12.2019 	 2,82 	 3,42 	 3,45 	 8 	 9 	 170 	 998 	 6,5 	  
08:00 31.12.2019 	 2,78 	 3,47 	 3,5 	 8 	 12 	 166 	 999 	 6,4 	  
07:50 31.12.2019 	 2,73 	 3,36 	 3,39 	 9 	 13 	 157 	 999 	 6,6 	  
07:40 31.12.2019 	 2,67 	 3,27 	 3,29 	 7 	 9 	 161 	 999 	 6,2 	  
07:30 31.12.2019 	 2,62 	 3,27 	 3,3 	 8 	 11 	 175 	 1000 	 6,3 	  
07:20 31.12.2019 	 2,55 	 3,13 	 3,16 	 9 	 12 	 186 	 1000 	 6,3 	  
07:10 31.12.2019 	 2,48 	 3,07 	 3,1 	 10 	 13 	 186 	 1001 	 6,4 	  
07:00 31.12.2019 	 2,41 	 2,95 	 2,98 	 9 	 13 	 189 	 1001 	 6,4 	  
06:50 31.12.2019 	 2,33 	 2,88 	 2,91 	 11 	 15 	 187 	 1001 	 6,4 	  
06:40 31.12.2019 	 2,25 	 2,85 	 2,88 	 12 	 16 	 185 	 1001 	 6,4 	  
06:30 31.12.2019 	 2,17 	 2,72 	 2,75 	 12 	 15 	 183 	 1002 	 6,4 	  
06:20 31.12.2019 	 2,08 	 2,6 	 2,62 	 12 	 16 	 182 	 1002 	 6,5 	  
06:10 31.12.2019 	 2 	 2,61 	 2,64 	 14 	 19 	 183 	 1002 	 6,4 	  
06:00 31.12.2019 	 1,9 	 2,42 	 2,44 	 15 	 18 	 182 	 1002 	 6,5 	  
05:50 31.12.2019 	 1,82 	 2,32 	 2,34 	 14 	 18 	 181 	 1003 	 6,5 	  
05:40 31.12.2019 	 1,73 	 2,28 	 2,31 	 12 	 17 	 182 	 1003 	 6,4 	  
05:30 31.12.2019 	 1,64 	 2,14 	 2,17 	 13 	 16 	 180 	 1003 	 6,6 	  
05:20 31.12.2019 	 1,55 	 2 	 2,02 	 11 	 15 	 180 	 1004 	 6,6 	  
05:10 31.12.2019 	 1,46 	 2 	 2,02 	 11 	 14 	 175 	 1004 	 6,5 	  
05:00 31.12.2019 	 1,38 	 1,84 	 1,86 	 10 	 12 	 172 	 1004 	 6,4 	  
04:50 31.12.2019 	 1,3 	 1,78 	 1,8 	 10 	 13 	 170 	 1004 	 6,5 	  
04:40 31.12.2019 	 1,22 	 1,72 	 1,74 	 9 	 13 	 164 	 1005 	 6,3 	  
04:30 31.12.2019 	 1,15 	 1,63 	 1,65 	 10 	 14 	 157 	 1005 	 6,2 	  
04:20 31.12.2019 	 1,08 	 1,52 	 1,54 	 10 	 12 	 152 	 1005 	 5,9 	  
04:10 31.12.2019 	 1,02 	 1,48 	 1,5 	 10 	 12 	 153 	 1006 	 5,8 	  
04:00 31.12.2019 	 0,96 	 1,44 	 1,46 	 10 	 13 	 156 	 1006 	 5,8 	  
03:50 31.12.2019 	 0,91 	 1,38 	 1,4 	 10 	 13 	 163 	 1007 	 5,7 	  
03:40 31.12.2019 	 0,86 	 1,32 	 1,34 	 11 	 14 	 166 	 1007 	 5,9 	  
03:30 31.12.2019 	 0,83 	 1,31 	 1,33 	 11 	 14 	 168 	 1008 	 5,7 	  
03:20 31.12.2019 	 0,8 	 1,23 	 1,24 	 12 	 14 	 175 	 1008 	 5,7 	  
03:10 31.12.2019 	 0,78 	 1,24 	 1,26 	 10 	 14 	 167 	 1008 	 5,7 	  
03:00 31.12.2019 	 0,76 	 1,2 	 1,21 	 10 	 13 	 172 	 1009 	 5,7 	  
02:50 31.12.2019 	 0,75 	 1,19 	 1,2 	 11 	 14 	 176 	 1009 	 5,7 	  
02:40 31.12.2019 	 0,76 	 1,18 	 1,19 	 11 	 14 	 175 	 1009 	 5,8 	  
02:30 31.12.2019 	 0,77 	 1,2 	 1,21 	 9 	 13 	 173 	 1010 	 5,6 	  
02:20 31.12.2019 	 0,78 	 1,24 	 1,26 	 9 	 11 	 171 	 1010 	 5,5 	  
02:10 31.12.2019 	 0,81 	 1,29 	 1,31 	 8 	 10 	 163 	 1010 	 5,3 	  
02:00 31.12.2019 	 0,84 	 1,24 	 1,26 	 8 	 10 	 169 	 1011 	 5,2 	  
01:50 31.12.2019 	 0,89 	 1,35 	 1,37 	 9 	 11 	 175 	 1011 	 5,2 	  
01:40 31.12.2019 	 0,93 	 1,39 	 1,41 	 9 	 12 	 186 	 1011 	 5,1 	  
01:30 31.12.2019 	 0,98 	 1,37 	 1,39 	 9 	 12 	 188 	 1012 	 4,9 	  
01:20 31.12.2019 	 1,05 	 1,55 	 1,57 	 10 	 14 	 186 	 1012 	 4,8 	  
01:10 31.12.2019 	 1,11 	 1,54 	 1,56 	 7 	 11 	 189 	 1012 	 5,1 	  
01:00 31.12.2019 	 1,18 	 1,61 	 1,63 	 10 	 14 	 187 	 1012 	 5 	  
00:50 31.12.2019 	 1,26 	 1,75 	 1,78 	 8 	 12 	 187 	 1012 	 5,4 	  
00:40 31.12.2019 	 1,34 	 1,75 	 1,77 	 7 	 9 	 193 	 1012 	 5,4 	  
00:30 31.12.2019 	 1,42 	 1,91 	 1,93 	 8 	 13 	 202 	 1013 	 5,4 	  
00:20 31.12.2019 	 1,5 	 1,99 	 2,02 	 6 	 12 	 193 	 1013 	 5,4 	  
00:10 31.12.2019 	 1,58 	 2,03 	 2,05 	 7 	 10 	 205 	 1013 	 5,2 	  
00:00 31.12.2019 	 1,67 	 2,17 	 2,19 	 6 	 8 	 203 	 1013 	 5,1 	  
23:50 30.12.2019 	 1,76 	 2,2 	 2,22 	 8 	 12 	 203 	 1013 	 5 	  
23:40 30.12.2019 	 1,85 	 2,37 	 2,39 	 8 	 11 	 196 	 1013 	 5,1 	  
23:30 30.12.2019 	 1,93 	 2,39 	 2,41 	 8 	 14 	 195 	 1013 	 4,9 	  
23:20 30.12.2019 	 2,02 	 2,52 	 2,55 	 6 	 8 	 191 	 1013 	 5,6 	  
23:10 30.12.2019 	 2,1 	 2,57 	 2,59 	 7 	 11 	 190 	 1014 	 5,5 	  
23:00 30.12.2019 	 2,18 	 2,62 	 2,64 	 7 	 10 	 196 	 1014 	 5,8 	  
22:50 30.12.2019 	 2,26 	 2,71 	 2,73 	 6 	 9 	 198 	 1014 	 5,6 	  
22:40 30.12.2019 	 2,33 	 2,82 	 2,84 	 7 	 10 	 208 	 1014 	 5,3 	  
22:30 30.12.2019 	 2,39 	 2,8 	 2,83 	 7 	 10 	 207 	 1014 	 5,3 	  
22:20 30.12.2019 	 2,46 	 2,93 	 2,96 	 8 	 11 	 213 	 1015 	 5,4 	  
22:10 30.12.2019 	 2,51 	 3,06 	 3,09 	 9 	 14 	 210 	 1015 	 4,8 	  
22:00 30.12.2019 	 2,57 	 3,03 	 3,06 	 8 	 11 	 208 	 1015 	 5,6 	  
21:50 30.12.2019 	 2,61 	 3,06 	 3,09 	 8 	 10 	 211 	 1015 	 5,5 	  
21:40 30.12.2019 	 2,65 	 3,22 	 3,25 	 6 	 9 	 212 	 1014 	 5,4 	  
21:30 30.12.2019 	 2,69 	 3,1 	 3,13 	 6 	 9 	 222 	 1015 	 5,2 	  
21:20 30.12.2019 	 2,71 	 3,15 	 3,18 	 7 	 10 	 223 	 1015 	 5,1 	  
21:10 30.12.2019 	 2,73 	 3,22 	 3,25 	 8 	 12 	 218 	 1015 	 5,2 	  
21:00 30.12.2019 	 2,74 	 3,2 	 3,23 	 7 	 11 	 220 	 1015 	 5,1 	  
20:50 30.12.2019 	 2,75 	 3,25 	 3,27 	 7 	 12 	 220 	 1015 	 4,6 	  
20:40 30.12.2019 	 2,74 	 3,13 	 3,16 	 7 	 14 	 221 	 1015 	 4,6 	  
20:30 30.12.2019 	 2,74 	 3,27 	 3,3 	 4 	 7 	 235 	 1014 	 4,2 	  
20:20 30.12.2019 	 2,72 	 3,15 	 3,17 	 7 	 10 	 223 	 1015 	 5 	  
20:10 30.12.2019 	 2,7 	 3,11 	 3,13 	 7 	 10 	 223 	 1015 	 5,2 	  
20:00 30.12.2019 	 2,67 	 3,16 	 3,19 	 7 	 9 	 225 	 1015 	 5,1 	  
19:50 30.12.2019 	 2,63 	 3,06 	 3,09 	 6 	 9 	 228 	 1015 	 4,8 	  
19:40 30.12.2019 	 2,59 	 3,06 	 3,08 	 5 	 9 	 229 	 1015 	 4,5 	  
19:30 30.12.2019 	 2,54 	 3,02 	 3,05 	 3 	 5 	 243 	 1014 	 3,8 	  
19:20 30.12.2019 	 2,49 	 2,89 	 2,92 	 5 	 7 	 250 	 1014 	 3,6 	  
19:10 30.12.2019 	 2,42 	 2,89 	 2,92 	 4 	 8 	 241 	 1014 	 4,1 	  
19:00 30.12.2019 	 2,36 	 2,75 	 2,77 	 5 	 9 	 233 	 1014 	 4,3 	  
18:50 30.12.2019 	 2,29 	 2,73 	 2,76 	 6 	 10 	 231 	 1014 	 4,2 	  
18:40 30.12.2019 	 2,22 	 2,6 	 2,63 	 6 	 10 	 230 	 1014 	 4,4 	  
18:30 30.12.2019 	 2,14 	 2,55 	 2,57 	 7 	 12 	 230 	 1015 	 4,3 	  
18:20 30.12.2019 	 2,06 	 2,48 	 2,5 	 6 	 11 	 234 	 1014 	 4,6 	  
18:10 30.12.2019 	 1,97 	 2,35 	 2,38 	 6 	 11 	 234 	 1014 	 4,6 	  
18:00 30.12.2019 	 1,89 	 2,33 	 2,35 	 7 	 13 	 232 	 1014 	 4,5 	  
17:50 30.12.2019 	 1,79 	 2,18 	 2,2 	 6 	 11 	 239 	 1014 	 4,7 	  
17:40 30.12.2019 	 1,7 	 2,15 	 2,17 	 5 	 9 	 241 	 1014 	 4,4 	  
17:30 30.12.2019 	 1,62 	 2,01 	 2,03 	 4 	 9 	 251 	 1014 	 4,1 	  
17:20 30.12.2019 	 1,53 	 1,93 	 1,95 	 5 	 13 	 209 	 1014 	 4 	  
17:10 30.12.2019 	 1,44 	 1,89 	 1,91 	 5 	 10 	 107 	 1014 	 2,9 	  
17:00 30.12.2019 	 1,35 	 1,79 	 1,82 	 5 	 7 	 94 	 1013 	 2,2 	  
16:50 30.12.2019 	 1,26 	 1,67 	 1,69 	 4 	 7 	 118 	 1013 	 2,6 	  
16:40 30.12.2019 	 1,18 	 1,67 	 1,69 	 3 	 4 	 121 	 1013 	 3,8 	  
16:30 30.12.2019 	 1,1 	 1,53 	 1,55 	 3 	 3 	 127 	 1013 	 3,4 	  
16:20 30.12.2019 	 1,03 	 1,51 	 1,53 	 3 	 4 	 157 	 1013 	 4,1 	  
16:10 30.12.2019 	 0,97 	 1,43 	 1,45 	 4 	 5 	 158 	 1013 	 4 	  
16:00 30.12.2019 	 0,9 	 1,39 	 1,41 	 4 	 5 	 160 	 1013 	 4,2 	  
15:50 30.12.2019 	 0,85 	 1,27 	 1,29 	 4 	 5 	 165 	 1013 	 4,2 	  
15:40 30.12.2019 	 0,8 	 1,35 	 1,37 	 5 	 7 	 163 	 1013 	 4,2 	  
15:30 30.12.2019 	 0,76 	 1,27 	 1,29 	 3 	 7 	 152 	 1013 	 4,4 	  
15:20 30.12.2019 	 0,72 	 1,2 	 1,22 	 3 	 5 	 185 	 1013 	 4,4 	  
15:10 30.12.2019 	 0,7 	 1,24 	 1,26 	 3 	 5 	 192 	 1013 	 4,2 	  
15:00 30.12.2019 	 0,68 	 1,21 	 1,22 	 4 	 5 	 184 	 1013 	 4,3 	  
14:50 30.12.2019 	 0,67 	 1,2 	 1,22 	 4 	 5 	 179 	 1013 	 4,6 	  
14:40 30.12.2019 	 0,66 	 1,26 	 1,28 	 3 	 5 	 194 	 1013 	 4,6 	  
14:30 30.12.2019 	 0,68 	 1,21 	 1,23 	 2 	 4 	 203 	 1013 	 4,6 	  
14:20 30.12.2019 	 0,7 	 1,24 	 1,26 	 3 	 5 	 212 	 1013 	 4,4 	  
14:10 30.12.2019 	 0,72 	 1,3 	 1,32 	 3 	 5 	 212 	 1013 	 4,4 	  
14:00 30.12.2019 	 0,75 	 1,31 	 1,33 	 4 	 5 	 208 	 1013 	 4,6 	  
13:50 30.12.2019 	 0,8 	 1,34 	 1,36 	 4 	 5 	 208 	 1013 	 4,3 	  
13:40 30.12.2019 	 0,85 	 1,45 	 1,47 	 4 	 7 	 216 	 1013 	 4,5 	  
13:30 30.12.2019 	 0,9 	 1,49 	 1,51 	 2 	 4 	 225 	 1013 	 4 	  
13:20 30.12.2019 	 0,97 	 1,55 	 1,57 	 3 	 5 	 214 	 1013 	 4,1 	  
13:10 30.12.2019 	 1,04 	 1,61 	 1,63 	 4 	 6 	 214 	 1013 	 4,1 	  
13:00 30.12.2019 	 1,12 	 1,73 	 1,75 	 5 	 8 	 216 	 1013 	 4 	  
12:50 30.12.2019 	 1,21 	 1,81 	 1,84 	 4 	 7 	 217 	 1013 	 4 	  
12:40 30.12.2019 	 1,3 	 1,9 	 1,92 	 3 	 7 	 224 	 1013 	 3,8 	  
12:30 30.12.2019 	 1,38 	 1,99 	 2,01 	 4 	 6 	 220 	 1013 	 3,8 	  
12:20 30.12.2019 	 1,48 	 2,1 	 2,12 	 4 	 6 	 226 	 1013 	 3,6 	  
12:10 30.12.2019 	 1,58 	 2,21 	 2,24 	 5 	 7 	 220 	 1013 	 3,4 	  
12:00 30.12.2019 	 1,68 	 2,27 	 2,3 	 4 	 6 	 216 	 1013 	 3,7 	  
11:50 30.12.2019 	 1,78 	 2,41 	 2,44 	 2 	 3 	 235 	 1013 	 2,3 	  
11:40 30.12.2019 	 1,89 	 2,53 	 2,55 	 1 	 1 	 260 	 1013 	 2,1 	  
11:30 30.12.2019 	 1,99 	 2,6 	 2,63 	 1 	 1 	 257 	 1012 	 2,2 	  
11:20 30.12.2019 	 2,09 	 2,79 	 2,82 	 1 	 2 	 245 	 1012 	 2,2 	  
11:10 30.12.2019 	 2,19 	 2,8 	 2,82 	 1 	 2 	 288 	 1012 	 2,2 	  
11:00 30.12.2019 	 2,29 	 2,94 	 2,97 	 1 	 1 	 319 	 1012 	 2,1 	  
10:50 30.12.2019 	 2,38 	 3,03 	 3,06 	 1 	 2 	 326 	 1012 	 2,1 	  
10:40 30.12.2019 	 2,46 	 3,1 	 3,12 	 1 	 2 	 297 	 1012 	 2,2 	  
10:30 30.12.2019 	 2,55 	 3,18 	 3,21 	 1 	 2 	 306 	 1011 	 2,3 	  
10:20 30.12.2019 	 2,63 	 3,27 	 3,3 	 2 	 4 	 262 	 1011 	 2,6 	  
10:10 30.12.2019 	 2,7 	 3,28 	 3,3 	 1 	 2 	 273 	 1011 	 2,2 	  
10:00 30.12.2019 	 2,78 	 3,45 	 3,48 	 2 	 3 	 262 	 1012 	 2,2 	  
09:50 30.12.2019 	 2,84 	 3,5 	 3,52 	 2 	 4 	 278 	 1011 	 2,3 	  
09:40 30.12.2019 	 2,9 	 3,5 	 3,53 	 2 	 4 	 272 	 1011 	 2,4 	  
09:30 30.12.2019 	 2,94 	 3,59 	 3,62 	 1 	 2 	 266 	 1011 	 2 	  
09:20 30.12.2019 	 2,98 	 3,6 	 3,63 	 2 	 3 	 279 	 1011 	 2,3 	  
09:10 30.12.2019 	 3,02 	 3,63 	 3,66 	 3 	 5 	 279 	 1011 	 2,4 	  
09:00 30.12.2019 	 3,05 	 3,72 	 3,75 	 3 	 5 	 275 	 1011 	 2,3 	  
08:50 30.12.2019 	 3,07 	 3,7 	 3,72 	 2 	 4 	 275 	 1010 	 2,3 	  
08:40 30.12.2019 	 3,08 	 3,66 	 3,69 	 2 	 4 	 291 	 1010 	 2,3 	  
08:30 30.12.2019 	 3,09 	 3,74 	 3,77 	 2 	 4 	 282 	 1010 	 2,6 	  
08:20 30.12.2019 	 3,09 	 3,71 	 3,74 	 3 	 4 	 290 	 1010 	 2,4 	  
08:10 30.12.2019 	 3,07 	 3,66 	 3,69 	 2 	 5 	 278 	 1010 	 2,4 	  
08:00 30.12.2019 	 3,06 	 3,69 	 3,72 	 1 	 2 	 273 	 1010 	 1,6 	  
07:50 30.12.2019 	 3,03 	 3,61 	 3,64 	 1 	 2 	 271 	 1009 	 1,5 	  
07:40 30.12.2019 	 3 	 3,62 	 3,65 	 2 	 3 	 289 	 1009 	 1,8 	  
07:30 30.12.2019 	 2,95 	 3,59 	 3,62 	 1 	 3 	 296 	 1009 	 1,7 	  
07:20 30.12.2019 	 2,9 	 3,48 	 3,51 	 2 	 3 	 288 	 1009 	 2,1 	  
07:10 30.12.2019 	 2,86 	 3,45 	 3,48 	 2 	 4 	 289 	 1008 	 1,9 	  
07:00 30.12.2019 	 2,79 	 3,4 	 3,43 	 2 	 4 	 289 	 1008 	 2,1 	  
06:50 30.12.2019 	 2,73 	 3,27 	 3,3 	 2 	 4 	 287 	 1008 	 1,9 	  
06:40 30.12.2019 	 2,65 	 3,26 	 3,29 	 2 	 4 	 273 	 1008 	 1,9 	  
06:30 30.12.2019 	 2,58 	 3,09 	 3,12 	 2 	 4 	 288 	 1008 	 2,1 	  
06:20 30.12.2019 	 2,49 	 3,02 	 3,05 	 2 	 3 	 289 	 1007 	 1,9 	  
06:10 30.12.2019 	 2,4 	 2,95 	 2,98 	 1 	 3 	 313 	 1007 	 1,5 	  
06:00 30.12.2019 	 2,31 	 2,82 	 2,85 	 2 	 3 	 287 	 1007 	 2,1 	  
